Frame,X,Y,Visibility,BBox_X,BBox_Y,BBox_W,BBox_H
110,[0],[0],0,[0],[0],[0],[0]
111,[0],[0],0,[0],[0],[0],[0]
112,[1172],[90],1,[1161],[78],[25],[22]
113,[1172],[90],1,[1161],[82],[22],[18]
114,[1172],[93],1,[1164],[82],[19],[22]
115,[1172],[97],1,[1167],[90],[14],[18]
116,[1175],[105],1,[1167],[93],[16],[22]
117,[1175, 455],[108, 258],1,[1167, 450],[97, 255],[16, 11],[22, 11]
118,[1172, 452],[112, 255],1,[1164, 444],[101, 247],[19, 16],[22, 18]
119,[1172, 452],[116, 247],1,[1161, 444],[101, 232],[22, 16],[30, 30]
120,[1164],[120],1,[1153],[108],[25],[26]
121,[1175],[120],1,[1164],[108],[22],[26]
122,[1184],[116],1,[1175],[105],[19],[26]
123,[1198],[112],1,[1189],[101],[19],[22]
124,[1215],[108],1,[1206],[97],[19],[22]
125,[1229],[108],1,[1220],[97],[19],[22]
126,[1245],[105],1,[1234],[93],[25],[22]
127,[1268],[101],1,[1257],[90],[22],[26]
128,[1279],[101],1,[1262],[90],[36],[26]
129,[1299],[101],1,[1288],[90],[25],[26]
130,[1316],[105],1,[1307],[93],[19],[22]
131,[1350],[105],1,[1341],[97],[16],[18]
132,[1355],[108],1,[1347],[97],[16],[22]
133,[1378],[112],1,[1366],[105],[22],[18]
134,[1400],[120],1,[1392],[112],[19],[18]
135,[1423],[123],1,[1414],[112],[16],[22]
136,[452],[180],1,[447],[172],[14],[18]
137,[452],[183],1,[450],[176],[5],[15]
138,[0],[0],0,[0],[0],[0],[0]
139,[0],[0],0,[0],[0],[0],[0]
140,[458],[176],1,[452],[172],[11],[7]
141,[458, 455],[176, 180],1,[455, 452],[172, 180],[8, 5],[7, 3]
142,[458],[180],1,[452],[172],[14],[18]
143,[458],[183],1,[452],[172],[14],[22]
144,[466],[191],1,[455],[176],[25],[30]
145,[472],[198],1,[464],[187],[19],[26]
146,[475],[210],1,[466],[198],[19],[22]
147,[478],[217],1,[469],[206],[19],[22]
148,[483],[232],1,[475],[221],[16],[22]
149,[489],[243],1,[480],[232],[16],[26]
150,[492],[262],1,[483],[251],[19],[22]
151,[497],[277],1,[489],[266],[19],[26]
152,[503],[300],1,[492],[285],[22],[30]
153,[509],[318],1,[500],[307],[16],[26]
154,[514],[348],1,[506],[337],[19],[22]
155,[523],[375],1,[514],[363],[19],[22]
156,[528],[397],1,[520],[386],[19],[22]
157,[540],[423],1,[531],[412],[16],[22]
158,[551],[457],1,[540],[446],[22],[26]
159,[554],[483],1,[545],[472],[19],[26]
160,[565, 585],[510, 498],1,[554, 585],[498, 498],[22, 2],[26, 3]
161,[568, 585],[506, 498],1,[556, 585],[491, 498],[22, 2],[30, 3]
162,[570],[498],1,[559],[487],[22],[26]
163,[570],[495],1,[559],[483],[22],[26]
164,[573],[491],1,[562],[480],[25],[26]
