Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
50,1,[3.0837 ],[6.5390 ],[1.4849 ],50,"[(776.0000, 176.0000)]","[(604.0000, 172.0000)]",[1.743596],[10.497704],[11.767725],[1.743596],[17.508218]
51,1,[3.1705 ],[6.7225 ],[1.5875 ],51,"[(784.0000, 168.0000)]","[(613.0000, 165.0000)]",[0.499621],[11.194709],[14.201239],[0.499621],[21.390175]
52,1,[3.2283 ],[6.6781 ],[1.6098 ],52,"[(790.0000, 165.0000)]","[(618.0000, 161.0000)]",[0.144170],[6.315003],[13.892578],[0.144170],[12.341667]
53,1,[3.2581 ],[6.7365 ],[1.6564 ],53,"[(793.0000, 161.0000)]","[(621.0000, 157.0000)]",[0.638731],[5.346418],[14.466299],[0.638731],[9.415374]
54,1,[3.3342 ],[6.5964 ],[1.6661 ],54,"[(801.0000, 157.0000)]","[(627.0000, 153.0000)]",[1.254958],[8.857114],[15.168898],[1.254958],[15.204312]
55,1,[3.3926 ],[6.5454 ],[1.6878 ],55,"[(807.0000, 153.0000)]","[(632.0000, 150.0000)]",[2.747842],[8.884196],[16.759072],[2.747842],[12.272707]
56,1,[3.4459 ],[7.3556 ],[1.8220 ],56,"[(812.0000, 153.0000)]","[(646.0000, 150.0000)]",[4.410370],[13.360329],[18.451748],[4.410370],[17.899918]
57,1,[3.5013 ],[7.3576 ],[1.8199 ],57,"[(818.0000, 153.0000)]","[(652.0000, 150.0000)]",[4.902473],[10.556049],[18.950145],[4.902473],[11.307152]
58,1,[3.5771 ],[7.3451 ],[1.7970 ],58,"[(826.0000, 157.0000)]","[(660.0000, 150.0000)]",[1.679488],[9.684978],[15.632724],[1.679488],[16.010981]
59,1,[3.6288 ],[7.5671 ],[1.8202 ],59,"[(832.0000, 157.0000)]","[(669.0000, 153.0000)]",[5.362343],[12.652234],[19.352716],[5.362343],[14.579782]
60,1,[3.6854 ],[7.5640 ],[1.7833 ],60,"[(838.0000, 165.0000)]","[(675.0000, 153.0000)]",[1.847268],[9.428052],[11.939793],[1.847268],[15.161568]
61,1,[3.7752 ],[7.2222 ],[1.6703 ],61,"[(846.0000, 168.0000)]","[(680.0000, 161.0000)]",[2.876328],[11.343463],[16.674406],[2.876328],[16.934269]
62,1,[3.8233 ],[7.5550 ],[1.6647 ],62,"[(852.0000, 176.0000)]","[(691.0000, 168.0000)]",[2.876933],[13.758685],[16.545024],[2.876933],[21.763505]
63,1,[3.8276 ],[8.1446 ],[1.7170 ],63,"[(855.0000, 183.0000)]","[(703.0000, 176.0000)]",[5.103003],[15.502074],[18.659386],[5.103003],[20.798141]
64,1,[3.9409 ],[7.4773 ],[1.5131 ],64,"[(863.0000, 191.0000)]","[(703.0000, 183.0000)]",[3.518784],[12.173909],[16.934159],[3.518784],[17.310250]
65,1,[3.9994 ],[7.8449 ],[1.4887 ],65,"[(871.0000, 202.0000)]","[(717.0000, 195.0000)]",[5.785865],[20.912181],[18.996617],[5.785865],[30.252632]
66,1,[4.0213 ],[8.0849 ],[1.4315 ],66,"[(874.0000, 217.0000)]","[(725.0000, 206.0000)]",[2.704344],[16.354536],[15.675401],[2.704344],[27.300384]
67,1,[4.0759 ],[8.2030 ],[1.3476 ],67,"[(880.0000, 232.0000)]","[(734.0000, 217.0000)]",[0.245031],[14.601070],[12.473234],[0.245031],[28.712079]
68,1,[4.1767 ],[8.0426 ],[1.1538 ],68,"[(888.0000, 247.0000)]","[(742.0000, 236.0000)]",[4.136515],[21.886294],[16.563566],[4.136515],[35.499558]
69,1,[4.1474 ],[8.7076 ],[1.2453 ],69,"[(891.0000, 258.0000)]","[(756.0000, 247.0000)]",[6.010940],[19.810110],[18.213590],[6.010940],[27.598340]
70,1,[4.2088 ],[8.7651 ],[1.1021 ],70,"[(897.0000, 277.0000)]","[(765.0000, 266.0000)]",[7.081619],[26.428601],[18.905309],[7.081619],[38.693965]
71,1,[4.2538 ],[8.7577 ],[0.9537 ],71,"[(900.0000, 296.0000)]","[(770.0000, 281.0000)]",[3.942734],[20.514708],[15.485860],[3.942734],[33.143948]
72,1,[4.3045 ],[8.8678 ],[0.8119 ],72,"[(905.0000, 318.0000)]","[(779.0000, 300.0000)]",[2.473246],[23.093794],[13.639587],[2.473246],[41.241097]
73,1,[4.5346 ],[8.0871 ],[0.3011 ],73,"[(916.0000, 341.0000)]","[(781.0000, 322.0000)]",[1.957468],[24.471783],[12.703472],[1.957468],[45.028631]
74,1,[4.4855 ],[8.9402 ],[0.4470 ],74,"[(922.0000, 363.0000)]","[(801.0000, 341.0000)]",[2.615536],[26.493993],[12.936786],[2.615536],[47.756915]
75,1,[4.5475 ],[8.7459 ],[0.1468 ],75,"[(922.0000, 386.0000)]","[(801.0000, 363.0000)]",[2.145756],[23.446648],[12.053906],[2.145756],[42.601785]
76,1,[4.5832 ],[8.8339 ],[0.0179 ],76,"[(925.0000, 405.0000)]","[(807.0000, 378.0000)]",[0.179432],[16.967173],[9.439130],[0.179432],[33.575482]
77,1,[4.6265 ],[9.0130 ],[0.2107 ],77,"[(936.0000, 393.0000)]","[(818.0000, 367.0000)]",[2.366930],[17.375096],[12.119651],[2.366930],[30.016333]
78,1,[4.6767 ],[9.0779 ],[0.3035 ],78,"[(945.0000, 386.0000)]","[(826.0000, 360.0000)]",[3.552580],[13.920724],[13.385054],[3.552580],[20.736287]
79,1,[4.6731 ],[9.2394 ],[0.4475 ],79,"[(950.0000, 378.0000)]","[(832.0000, 352.0000)]",[4.319669],[13.483119],[14.269196],[4.319669],[18.326900]
80,1,[4.7745 ],[9.0993 ],[0.4644 ],80,"[(961.0000, 371.0000)]","[(838.0000, 341.0000)]",[1.302534],[13.307748],[11.468860],[1.302534],[24.010427]
81,1,[4.7988 ],[9.1480 ],[0.5550 ],81,"[(967.0000, 363.0000)]","[(843.0000, 333.0000)]",[1.866395],[11.014935],[12.158129],[1.866395],[18.297080]
82,1,[4.8656 ],[9.1153 ],[0.5523 ],82,"[(975.0000, 363.0000)]","[(849.0000, 330.0000)]",[0.014506],[6.922232],[10.330613],[0.014506],[13.815452]
83,1,[4.9268 ],[9.1373 ],[0.5715 ],83,"[(984.0000, 360.0000)]","[(857.0000, 330.0000)]",[4.070409],[12.286663],[14.320225],[4.070409],[16.432508]
84,1,[4.9522 ],[9.2127 ],[0.6186 ],84,"[(990.0000, 360.0000)]","[(863.0000, 326.0000)]",[1.209440],[7.412426],[11.556911],[1.209440],[12.405972]
85,1,[4.8977 ],[9.5875 ],[0.7716 ],85,"[(995.0000, 360.0000)]","[(874.0000, 326.0000)]",[3.000244],[10.533565],[13.277743],[3.000244],[15.066641]
