row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
228,sink,16068,dirchange_16068_00228.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/dirchange_16068_00228.mp4,ok,0.780316,0.000048,0.147013,0.927459,2026-07-20 20:51:09
228,hq,16068,dirchange_16068_00228.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/dirchange_16068_00228.mp4,ok,1.081981,0.000052,0.309065,1.391122,2026-07-20 20:51:10
0,source,27,bounce_27_00000.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_27_00000.mp4,ok,0.779735,0.000062,0.254698,1.034524,2026-07-20 20:51:11
0,sink,27,bounce_27_00000.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_27_00000.mp4,ok,0.658786,0.000047,0.293526,0.952384,2026-07-20 20:51:12
0,hq,27,bounce_27_00000.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_27_00000.mp4,ok,1.267789,0.000040,0.341567,1.609417,2026-07-20 20:51:14
3,source,160,bounce_160_00003.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_160_00003.mp4,ok,0.445645,0.000054,0.140301,0.586024,2026-07-20 20:51:15
3,source,185,dirchange_185_00003.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/dirchange_185_00003.mp4,ok,0.145521,0.000048,0.157978,0.303574,2026-07-20 20:51:15
3,sink,160,bounce_160_00003.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_160_00003.mp4,ok,0.493776,0.000064,0.147213,0.641076,2026-07-20 20:51:16
3,hq,160,bounce_160_00003.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_160_00003.mp4,ok,0.804679,0.000054,0.232856,1.037628,2026-07-20 20:51:17
5,source,377,bounce_377_00005.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_377_00005.mp4,failed,0.188336,0.000000,0.000000,0.188398,2026-07-20 20:51:17
5,sink,377,bounce_377_00005.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_377_00005.mp4,failed,0.193126,0.000000,0.000000,0.193184,2026-07-20 20:51:17
5,hq,377,bounce_377_00005.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_377_00005.mp4,ok,0.916680,0.000048,0.317840,1.234591,2026-07-20 20:51:18
6,source,415,bounce_415_00006.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_415_00006.mp4,ok,0.247321,0.000043,0.131902,0.379290,2026-07-20 20:51:19
6,sink,415,bounce_415_00006.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_415_00006.mp4,ok,0.232579,0.000047,0.144620,0.377282,2026-07-20 20:51:19
6,hq,415,bounce_415_00006.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_415_00006.mp4,ok,0.388970,0.000043,0.421755,0.810790,2026-07-20 20:51:20
10,source,629,bounce_629_00010.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_629_00010.mp4,ok,0.640079,0.000043,0.250497,0.890646,2026-07-20 20:51:21
10,sink,629,bounce_629_00010.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_629_00010.mp4,ok,0.731676,0.000041,0.294086,1.025830,2026-07-20 20:51:22
10,hq,629,bounce_629_00010.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_629_00010.mp4,ok,1.317975,0.000050,0.248818,1.566871,2026-07-20 20:51:23
13,source,782,bounce_782_00013.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_782_00013.mp4,ok,1.006610,0.000051,0.143859,1.150547,2026-07-20 20:51:24
13,sink,782,bounce_782_00013.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_782_00013.mp4,ok,0.934839,0.000037,0.137088,1.071989,2026-07-20 20:51:26
13,hq,782,bounce_782_00013.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_782_00013.mp4,ok,0.668040,0.000055,0.321821,0.989944,2026-07-20 20:51:27
14,source,823,bounce_823_00014.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_823_00014.mp4,ok,0.154694,0.000059,0.136317,0.291094,2026-07-20 20:51:27
14,sink,823,bounce_823_00014.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_823_00014.mp4,ok,0.157571,0.000065,0.138232,0.295897,2026-07-20 20:51:27
14,hq,823,bounce_823_00014.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_823_00014.mp4,ok,0.252362,0.000067,0.227262,0.479723,2026-07-20 20:51:28
15,source,863,bounce_863_00015.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_863_00015.mp4,failed,0.153018,0.000000,0.000000,0.153266,2026-07-20 20:51:28
15,sink,863,bounce_863_00015.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_863_00015.mp4,failed,0.151590,0.000000,0.000000,0.151655,2026-07-20 20:51:28
15,hq,863,bounce_863_00015.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_863_00015.mp4,ok,0.221179,0.000043,0.346824,0.568066,2026-07-20 20:51:29
16,source,895,bounce_895_00016.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_895_00016.mp4,ok,0.389335,0.000044,0.271636,0.661060,2026-07-20 20:51:29
16,sink,895,bounce_895_00016.mp4,/home/ganesh/test_work/cv_output/bounce_clips/sink/bounce_895_00016.mp4,ok,0.386557,0.000041,0.227366,0.613988,2026-07-20 20:51:30
16,hq,895,bounce_895_00016.mp4,/home/ganesh/test_work/cv_output/bounce_clips/hq/bounce_895_00016.mp4,ok,0.517198,0.000059,0.433696,0.950996,2026-07-20 20:51:31
18,source,1024,bounce_1024_00018.mp4,/home/ganesh/test_work/cv_output/bounce_clips/source/bounce_1024_00018.mp4,ok,0.816944,0.000041,0.163165,0.980172,2026-07-20 20:51:32
