EventWall_ns,RowType,Sink_Index,Sink_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219375952967291,MATCHED,0,1784219375952967291,29,1784219375959087164,-6119873,-6.119873
1784219375967603019,MATCHED,1,1784219375967603019,29,1784219375959087164,8515855,8.515855
1784219375989377519,MATCHED,2,1784219375989377519,30,1784219375992587372,-3209853,-3.209853
1784219376018129352,MATCHED,3,1784219376018129352,31,1784219376027145233,-9015881,-9.015881
1784219376055779912,MATCHED,4,1784219376055779912,32,1784219376060039764,-4259852,-4.259852
1784219376089275169,MATCHED,5,1784219376089275169,33,1784219376092305117,-3029948,-3.029948
1784219376120818475,MATCHED,6,1784219376120818475,34,1784219376126913070,-6094595,-6.094595
1784219376155397955,MATCHED,7,1784219376155397955,35,1784219376162032573,-6634618,-6.634618
1784219376185882112,MATCHED,8,1784219376185882112,36,1784219376194454294,-8572182,-8.572182
1784219376222423004,MATCHED,9,1784219376222423004,37,1784219376226710407,-4287403,-4.287403
1784219376254293194,MATCHED,10,1784219376254293194,38,1784219376258797577,-4504383,-4.504383
1784219376284976811,MATCHED,11,1784219376284976811,39,1784219376294403203,-9426392,-9.426392
1784219376318146443,MATCHED,12,1784219376318146443,40,1784219376325590625,-7444182,-7.444182
1784219376351114097,MATCHED,13,1784219376351114097,41,1784219376358995612,-7881515,-7.881515
1784219376386559970,MATCHED,14,1784219376386559970,42,1784219376393512122,-6952152,-6.952152
1784219376419092686,MATCHED,15,1784219376419092686,43,1784219376425462146,-6369460,-6.369460
1784219376451327074,MATCHED,16,1784219376451327074,44,1784219376458862355,-7535281,-7.535281
1784219376484828738,MATCHED,17,1784219376484828738,45,1784219376492174991,-7346253,-7.346253
1784219376517868409,MATCHED,18,1784219376517868409,46,1784219376526510244,-8641835,-8.641835
1784219376551520015,MATCHED,19,1784219376551520015,47,1784219376558728209,-7208194,-7.208194
1784219376585196231,MATCHED,20,1784219376585196231,48,1784219376593432309,-8236078,-8.236078
1784219376617006033,MATCHED,21,1784219376617006033,49,1784219376625529349,-8523316,-8.523316
1784219376650166351,MATCHED,22,1784219376650166351,50,1784219376659658975,-9492624,-9.492624
1784219376682433608,MATCHED,23,1784219376682433608,51,1784219376694673701,-12240093,-12.240093
1784219376716482430,MATCHED,24,1784219376716482430,52,1784219376726490523,-10008093,-10.008093
1784219376749694543,MATCHED,25,1784219376749694543,53,1784219376759870251,-10175708,-10.175708
1784219376783145930,MATCHED,26,1784219376783145930,54,1784219376792018106,-8872176,-8.872176
1784219376816339987,MATCHED,27,1784219376816339987,55,1784219376825356779,-9016792,-9.016792
1784219376849626840,MATCHED,28,1784219376849626840,56,1784219376859839789,-10212949,-10.212949
1784219376883055004,MATCHED,29,1784219376883055004,57,1784219376892613284,-9558280,-9.558280
1784219376916300672,MATCHED,30,1784219376916300672,58,1784219376926445858,-10145186,-10.145186
1784219376949604487,MATCHED,31,1784219376949604487,59,1784219376958835321,-9230834,-9.230834
1784219376983446849,MATCHED,32,1784219376983446849,60,1784219377003430685,-19983836,-19.983836
1784219377016340578,MATCHED,33,1784219377016340578,61,1784219377027679380,-11338802,-11.338802
1784219377049554506,MATCHED,34,1784219377049554506,62,1784219377058366494,-8811988,-8.811988
1784219377083111132,MATCHED,35,1784219377083111132,63,1784219377089908282,-6797150,-6.797150
1784219377116421521,MATCHED,36,1784219377116421521,64,1784219377123182030,-6760509,-6.760509
1784219377149570505,MATCHED,37,1784219377149570505,65,1784219377157181639,-7611134,-7.611134
1784219377183988654,MATCHED,38,1784219377183988654,66,1784219377190331185,-6342531,-6.342531
1784219377216365818,MATCHED,39,1784219377216365818,67,1784219377223960002,-7594184,-7.594184
1784219377249411248,MATCHED,40,1784219377249411248,68,1784219377257728077,-8316829,-8.316829
