EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219378251702049,MATCHED,70,1784219378251702049,98,1784219378259404820,-7702771,-7.702771
1784219378281982271,MATCHED,71,1784219378281982271,99,1784219378294070551,-12088280,-12.088280
1784219378316012786,MATCHED,72,1784219378316012786,100,1784219378326526624,-10513838,-10.513838
1784219378348835202,MATCHED,73,1784219378348835202,101,1784219378359359988,-10524786,-10.524786
1784219378383295674,MATCHED,74,1784219378383295674,102,1784219378392607440,-9311766,-9.311766
1784219378415855223,MATCHED,75,1784219378415855223,103,1784219378427283466,-11428243,-11.428243
1784219378449532464,MATCHED,76,1784219378449532464,104,1784219378458391001,-8858537,-8.858537
1784219378482892615,MATCHED,77,1784219378482892615,105,1784219378492028392,-9135777,-9.135777
1784219378518101320,MATCHED,78,1784219378518101320,106,1784219378527290134,-9188814,-9.188814
1784219378551169437,MATCHED,79,1784219378551169437,107,1784219378560781379,-9611942,-9.611942
1784219378583060753,MATCHED,80,1784219378583060753,108,1784219378593014121,-9953368,-9.953368
1784219378616129500,MATCHED,81,1784219378616129500,109,1784219378627626945,-11497445,-11.497445
1784219378648993675,MATCHED,82,1784219378648993675,110,1784219378660109295,-11115620,-11.115620
1784219378684573302,MATCHED,83,1784219378684573302,111,1784219378693771834,-9198532,-9.198532
1784219378715459498,MATCHED,84,1784219378715459498,112,1784219378724694482,-9234984,-9.234984
1784219378749276404,MATCHED,85,1784219378749276404,113,1784219378757932842,-8656438,-8.656438
1784219378781902434,MATCHED,86,1784219378781902434,114,1784219378791171997,-9269563,-9.269563
1784219378815793801,MATCHED,87,1784219378815793801,115,1784219378824471911,-8678110,-8.678110
1784219378849320895,MATCHED,88,1784219378849320895,116,1784219378858833053,-9512158,-9.512158
1784219378882023887,MATCHED,89,1784219378882023887,117,1784219378891470846,-9446959,-9.446959
1784219378915944402,MATCHED,90,1784219378915944402,118,1784219378925155996,-9211594,-9.211594
1784219378949272813,MATCHED,91,1784219378949272813,119,1784219378959851689,-10578876,-10.578876
1784219378982372782,MATCHED,92,1784219378982372782,120,1784219379003167421,-20794639,-20.794639
1784219379016284390,MATCHED,93,1784219379016284390,121,1784219379026590571,-10306181,-10.306181
1784219379048932197,MATCHED,94,1784219379048932197,122,1784219379057621291,-8689094,-8.689094
1784219379082818731,MATCHED,95,1784219379082818731,123,1784219379089349522,-6530791,-6.530791
