frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
95192,15167133212000,1779986611421531506,0,32604,2
95193,15167166526000,1779986611454892967,0,26866,2
95194,15167199850000,1779986611487726230,0,27007,2
95195,15167233167000,1779986611540432638,1,204245,10
95196,15167266491000,1779986611564212209,0,60296,3
95197,15167299806000,1779986611588258333,0,33972,2
95198,15167333136000,1779986611636222619,0,18722,1
95199,15167366448000,1779986611672745587,0,11748,1
95200,15167399770000,1779986611714384693,0,11830,1
95201,15167433090000,1779986611747112068,0,16464,1
95202,15167466412000,1779986611780664528,0,16704,1
95203,15167499736000,1779986611812541540,0,20171,1
95204,15167533054000,1779986611837029716,0,19330,1
95205,15167566375000,1779986611878773505,0,28340,2
95206,15167599697000,1779986611911930283,0,27436,2
95207,15167633018000,1779986611937587744,0,26219,2
95208,15167666340000,1779986611981964194,0,26166,2
95209,15167699661000,1779986612011842429,0,25775,2
95210,15167732986000,1779986612036784730,0,28591,2
95211,15167766305000,1779986612076693888,0,27041,2
95212,15167799625000,1779986612101867261,0,25978,2
95213,15167832948000,1779986612146327840,0,31900,2
95214,15167866270000,1779986612180361073,0,31894,2
95215,15167899590000,1779986612212657915,0,31416,2
95216,15167932914000,1779986612246154097,0,31121,2
95217,15167966232000,1779986612279488263,0,31951,2
95218,15167999553000,1779986612313458663,0,31254,2
95219,15168032875000,1779986612346912012,0,30595,2
95220,15168066196000,1779986612380282807,0,31154,2
95221,15168099519000,1779986612412751870,0,30768,2
95222,15168132841000,1779986612446011666,0,30866,2
95223,15168166160000,1779986612479277554,0,31196,2
95224,15168199481000,1779986612513486137,0,30657,2
95225,15168232803000,1779986612548539638,0,32444,2
95226,15168266125000,1779986612580049136,0,31677,2
95227,15168299446000,1779986612612716178,0,30944,2
95228,15168332769000,1779986612645730236,0,30424,2
95229,15168366089000,1779986612679292973,0,40662,2
95230,15168399410000,1779986612713322169,0,30709,2
95231,15168432732000,1779986612746628631,0,30317,2
95232,15168466054000,1779986612779981204,0,30854,2
95233,15168499375000,1779986612812895207,0,30451,2
95234,15168532697000,1779986612848236779,0,30475,2
95235,15168566019000,1779986612881645333,0,30968,2
95236,15168599339000,1779986612912268136,0,30455,2
95237,15168632666000,1779986612944720272,0,39802,2
95238,15168665987000,1779986612977623979,0,30489,2
95239,15168699307000,1779986613010277095,0,29824,2
95240,15168732628000,1779986613043946499,0,39286,2
95241,15168765947000,1779986613068484766,0,30071,2
95242,15168799273000,1779986613103382787,0,29840,2
95243,15168832593000,1779986613144628655,0,38908,2
95244,15168865915000,1779986613171908897,0,39119,2
95245,15168899241000,1779986613202456218,0,29038,2
95246,15168932557000,1779986613226341862,0,38487,2
95247,15168965878000,1779986613252571114,0,29061,2
95248,15168999199000,1779986613284469682,0,29066,2
95249,15169032521000,1779986613319668496,0,38571,2
95250,15169065851000,1779986613351446047,0,38453,2
95251,15169099164000,1779986613383776592,0,28646,2
95252,15169132484000,1779986613417096351,0,29032,2
95253,15169165806000,1779986613451376063,0,38805,2
95254,15169199128000,1779986613485115539,0,28678,2
95255,15169232449000,1779986613534909512,1,203760,10
95256,15169265771000,1779986613555682241,0,55592,3
95257,15169299092000,1779986613585227553,0,29805,2
95258,15169332412000,1779986613615557118,0,16514,1
95259,15169365735000,1779986613648646878,0,13898,1
95260,15169399056000,1779986613681899563,0,13782,1
95261,15169432378000,1779986613715465412,0,17427,1
95262,15169465699000,1779986613748797633,0,17656,1
95263,15169499020000,1779986613783928448,0,25566,2
95264,15169532340000,1779986613816397344,0,24966,2
