frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
1862,9519234697000,1779380518460214598,0,55104,3
1863,9519268021000,1779380518485715850,0,30074,2
1864,9519301340000,1779380518519978740,0,16381,1
1865,9519334661000,1779380518551464138,0,13221,1
1866,9519367983000,1779380518585372049,0,13521,1
1867,9519401304000,1779380518621615975,0,16893,1
1868,9519434630000,1779380518654583932,0,16603,1
1869,9519467946000,1779380518696338563,0,24737,2
1870,9519501270000,1779380518711759599,0,24213,2
1871,9519534591000,1779380518736322379,0,23951,2
1872,9519567911000,1779380518770345122,0,23198,2
1873,9519601236000,1779380518801850427,0,23479,2
1874,9519634553000,1779380518838948604,0,29105,2
1875,9519667881000,1779380518875979411,0,29000,2
1876,9519701206000,1779380518909020108,0,28938,2
1877,9519734522000,1779380518940248879,0,29237,2
1878,9519767845000,1779380518975006560,0,28762,2
1879,9519801166000,1779380519006444514,0,28950,2
1880,9519834491000,1779380519041876966,0,29071,2
1881,9519867815000,1779380519072832647,0,28413,2
1882,9519901128000,1779380519107944361,0,28865,2
1883,9519934454000,1779380519139581257,0,27982,2
1884,9519967784000,1779380519174674639,0,37752,2
1885,9520001099000,1779380519202294611,0,27906,2
1886,9520034413000,1779380519237811673,0,37432,2
1887,9520067734000,1779380519274112413,0,36481,2
1888,9520101063000,1779380519303235927,0,36439,2
1889,9520134377000,1779380519337109579,0,27595,2
1890,9520167704000,1779380519370400330,0,36629,2
1891,9520201020000,1779380519404234575,0,27694,2
1892,9520234346000,1779380519436517076,0,36887,2
1893,9520267666000,1779380519470456321,0,36568,2
1894,9520300985000,1779380519502707507,0,27457,2
1895,9520334306000,1779380519536722566,0,37396,2
1896,9520367628000,1779380519569055566,0,28035,2
1897,9520400949000,1779380519603484750,0,37252,2
1898,9520434272000,1779380519636054119,0,28109,2
1899,9520467592000,1779380519669822810,0,37731,2
1900,9520500915000,1779380519704552491,0,28113,2
1901,9520534233000,1779380519737258062,0,37785,2
1902,9520567560000,1779380519770549072,0,37102,2
1903,9520600876000,1779380519802836906,0,27860,2
1904,9520634197000,1779380519837690679,0,36926,2
1905,9520667522000,1779380519870241252,0,36487,2
1906,9520700841000,1779380519903289819,0,36679,2
1907,9520734161000,1779380519935711023,0,27384,2
1908,9520767482000,1779380519969132532,0,37107,2
1909,9520800805000,1779380520003822343,0,27804,2
1910,9520834125000,1779380520036042974,0,37053,2
1911,9520867448000,1779380520068470974,0,28012,2
1912,9520900768000,1779380520105136877,0,37254,2
1913,9520934091000,1779380520135425953,0,36973,2
1914,9520967412000,1779380520168676649,0,27732,2
1915,9521000734000,1779380520202787447,0,36859,2
1916,9521034054000,1779380520235012782,0,27843,2
1917,9521067377000,1779380520269403651,0,37135,2
1918,9521100698000,1779380520303802762,0,36372,2
1919,9521134019000,1779380520334677406,0,28129,2
1920,9521167341000,1779380520368913129,0,36842,2
1921,9521200662000,1779380520413822526,1,197413,10
1922,9521233984000,1779380520437546814,0,54587,3
1923,9521267308000,1779380520468586383,0,30263,2
1924,9521300627000,1779380520500248742,0,16309,1
1925,9521333949000,1779380520533100682,0,13432,1
1926,9521367269000,1779380520566339396,0,13828,1
1927,9521400591000,1779380520599946940,0,17115,1
1928,9521433912000,1779380520633216580,0,16995,1
1929,9521467233000,1779380520667414766,0,25174,2
1930,9521500555000,1779380520700637647,0,24637,2
1931,9521533877000,1779380520733948398,0,23897,2
1932,9521567199000,1779380520767316018,0,24231,2
1933,9521600519000,1779380520800540491,0,23965,2
1934,9521633841000,1779380520833845149,0,23854,2
1935,9521667163000,1779380520867910633,0,29500,2
1936,9521700484000,1779380520901238643,0,29561,2
1937,9521733805000,1779380520934540819,0,29210,2
1938,9521767126000,1779380520968268158,0,29080,2
1939,9521800448000,1779380521001696852,0,29649,2
1940,9521833770000,1779380521034710883,0,28839,2
1941,9521867091000,1779380521067974282,0,29018,2
1942,9521900413000,1779380521101219552,0,29121,2
1943,9521933733000,1779380521134487618,0,29185,2
1944,9521967056000,1779380521167753498,0,28659,2
1945,9522000377000,1779380521201181433,0,29006,2
1946,9522033698000,1779380521238126148,0,38177,2
1947,9522067020000,1779380521267649842,0,28358,2
1948,9522100343000,1779380521301950046,0,38078,2
1949,9522133664000,1779380521334522137,0,28279,2
1950,9522166984000,1779380521368822637,0,37986,2
1951,9522200306000,1779380521401438283,0,28737,2
1952,9522233629000,1779380521436675997,0,38308,2
1953,9522266950000,1779380521469331420,0,28436,2
1954,9522300272000,1779380521501991918,0,38262,2
1955,9522333594000,1779380521535121799,0,29128,2
1956,9522366914000,1779380521568126423,0,29101,2
1957,9522400236000,1779380521602982566,0,38175,2
1958,9522433557000,1779380521636835145,0,38054,2
1959,9522466889000,1779380521669533938,0,29064,2
1960,9522500202000,1779380521703262629,0,29091,2
1961,9522533530000,1779380521738041254,0,38423,2
1962,9522566844000,1779380521768441403,0,28829,2
1963,9522600165000,1779380521804067798,0,37891,2
1964,9522633499000,1779380521834644315,0,28356,2
1965,9522666809000,1779380521868820520,0,38069,2
1966,9522700129000,1779380521901605591,0,28526,2
1967,9522733460000,1779380521936078645,0,38489,2
1968,9522766782000,1779380521969089120,0,28725,2
1969,9522800094000,1779380522010029241,0,37662,2
1970,9522833419000,1779380522038264282,0,38011,2
1971,9522866744000,1779380522069220092,0,28536,2
1972,9522900060000,1779380522101476556,0,29131,2
1973,9522933381000,1779380522138048460,0,38244,2
1974,9522966707000,1779380522167676950,0,29238,2
1975,9523000024000,1779380522201998858,0,37058,2
1976,9523033345000,1779380522236496486,0,37569,2
1977,9523066664000,1779380522267825477,0,28588,2
1978,9523099988000,1779380522300962989,0,28189,2
1979,9523133310000,1779380522335064232,0,37081,2
1980,9523166630000,1779380522368419741,0,37077,2
1981,9523199951000,1779380522413474396,1,200810,10
