frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
29668,12974603916000,1779984421330228590,0,13994,1
29669,12974637224000,1779984421363434635,0,19898,1
29670,12974670554000,1779984421397358931,0,13857,1
29671,12974703871000,1779984421429297730,0,19556,1
29672,12974737194000,1779984421460960920,0,13513,1
29673,12974770511000,1779984421495943020,0,19351,1
29674,12974803817000,1779984421528714754,0,13727,1
29675,12974837145000,1779984421562972510,0,19276,1
29676,12974870448000,1779984421591630473,0,13653,1
29677,12974903767000,1779984421625569121,0,19544,1
29678,12974937088000,1779984421658112172,0,13900,1
29679,12974970407000,1779984421692250985,0,19780,1
29680,12975003724000,1779984421724755722,0,14166,1
29681,12975037042000,1779984421758727314,0,19757,1
29682,12975070360000,1779984421791415031,0,13961,1
29683,12975103678000,1779984421825575566,0,19894,1
29684,12975136997000,1779984421857977211,0,13776,1
29685,12975170316000,1779984421892594556,0,19756,1
29686,12975203634000,1779984421924625317,0,14000,1
29687,12975236953000,1779984421958024730,0,13899,1
29688,12975270270000,1779984421993706971,0,19699,1
29689,12975303590000,1779984422024544670,0,13951,1
29690,12975336909000,1779984422058439855,0,19619,1
29691,12975370226000,1779984422092518298,0,13955,1
29692,12975403546000,1779984422125330940,0,19863,1
29693,12975436864000,1779984422157815455,0,13892,1
29694,12975470181000,1779984422191773936,0,19679,1
29695,12975503503000,1779984422224493430,0,13772,1
29696,12975536819000,1779984422258102026,0,19417,1
29697,12975570137000,1779984422293133793,0,13694,1
29698,12975603455000,1779984422325360033,0,19279,1
29699,12975636775000,1779984422358809889,0,19235,1
29700,12975670096000,1779984422391322515,0,13271,1
29701,12975703412000,1779984422429089476,1,78319,4
29702,12975736730000,1779984422460487909,0,26305,2
29703,12975770055000,1779984422492149692,0,14020,1
29704,12975803367000,1779984422523773846,0,9354,1
29705,12975836685000,1779984422557024427,0,9370,1
29706,12975870004000,1779984422590343063,0,9301,1
29707,12975903322000,1779984422626270635,0,9486,1
29708,12975936642000,1779984422657317943,0,13462,1
29709,12975969958000,1779984422691039075,0,13126,1
29710,12976003277000,1779984422723981048,0,13188,1
29711,12976036595000,1779984422757267814,0,13284,1
29712,12976069914000,1779984422790750189,0,13223,1
29713,12976103233000,1779984422823989104,0,13039,1
29714,12976136551000,1779984422857222426,0,13089,1
29715,12976169872000,1779984422890673876,0,13177,1
29716,12976203189000,1779984422923894753,0,12838,1
29717,12976236507000,1779984422959123055,0,13014,1
29718,12976269825000,1779984422991585755,0,18564,1
29719,12976303145000,1779984423024591728,0,18510,1
29720,12976336463000,1779984423057705181,0,18346,1
29721,12976369780000,1779984423090623469,0,12763,1
29722,12976403099000,1779984423124679524,0,18399,1
29723,12976436418000,1779984423157667997,0,18371,1
29724,12976469737000,1779984423191038039,0,18308,1
29725,12976503055000,1779984423223829570,0,12729,1
29726,12976536373000,1779984423258128418,0,18070,1
29727,12976569693000,1779984423291059614,0,18270,1
29728,12976603012000,1779984423324307639,0,17958,1
29729,12976636329000,1779984423357650294,0,12565,1
29730,12976669647000,1779984423391415277,0,17849,1
29731,12976702965000,1779984423430040765,0,17958,1
29732,12976736289000,1779984423459889493,0,18079,1
29733,12976769612000,1779984423492393860,0,12314,1
29734,12976802921000,1779984423525598312,0,17876,1
29735,12976836240000,1779984423560917335,0,18235,1
29736,12976869560000,1779984423591143095,0,18099,1
29737,12976902877000,1779984423625970105,0,12480,1
29738,12976936208000,1779984423657578073,0,18108,1
29739,12976969514000,1779984423691069485,0,17884,1
29740,12977002832000,1779984423724238104,0,17951,1
29741,12977036150000,1779984423756935802,0,12441,1
29742,12977069470000,1779984423790909154,0,17802,1
29743,12977102788000,1779984423825973605,0,18087,1
29744,12977136108000,1779984423857535889,0,18179,1
29745,12977169425000,1779984423890553232,0,12489,1
29746,12977202743000,1779984423926194992,0,17837,1
29747,12977236063000,1779984423957702110,0,17791,1
29748,12977269380000,1779984423990878544,0,17897,1
29749,12977302698000,1779984424024080496,0,12431,1
29750,12977336019000,1779984424057383206,0,17698,1
29751,12977369336000,1779984424090644861,0,17927,1
29752,12977402654000,1779984424123405355,0,12553,1
29753,12977435972000,1779984424157610463,0,18030,1
29754,12977469291000,1779984424190736731,0,17792,1
29755,12977502610000,1779984424223296986,0,12524,1
29756,12977535928000,1779984424257230023,0,17729,1
29757,12977569248000,1779984424290489234,0,18001,1
29758,12977602566000,1779984424323282320,0,12406,1
29759,12977635883000,1779984424357377744,0,17671,1
29760,12977669202000,1779984424389987462,0,12349,1
29761,12977702521000,1779984424427766237,1,75763,4
29762,12977735839000,1779984424458018238,0,25155,2
29763,12977769158000,1779984424490056184,0,13370,1
29764,12977802476000,1779984424522784733,0,8971,1
29765,12977835794000,1779984424556082092,0,8697,1
29766,12977869112000,1779984424590049906,0,12425,1
29767,12977902432000,1779984424624848749,0,12310,1
29768,12977935751000,1779984424656711030,0,12104,1
29769,12977969069000,1779984424690018573,0,12165,1
29770,12978002388000,1779984424723073842,0,12190,1
29771,12978035705000,1779984424756902843,0,12394,1
29772,12978069025000,1779984424790115851,0,12499,1
29773,12978102343000,1779984424823285581,0,12560,1
29774,12978135661000,1779984424856987157,0,12547,1
29775,12978168979000,1779984424892784860,0,18055,1
29776,12978202304000,1779984424925739889,0,18367,1
29777,12978235619000,1779984424959166283,0,18517,1
29778,12978268937000,1779984424993071432,0,12864,1
29779,12978302266000,1779984425027262244,0,18562,1
29780,12978335580000,1779984425064548561,0,13116,1
29781,12978368899000,1779984425091021694,0,18646,1
29782,12978402215000,1779984425126645251,0,18814,1
29783,12978435533000,1779984425159026785,0,13146,1
29784,12978468847000,1779984425191574559,0,18625,1
29785,12978502170000,1779984425223091066,0,13112,1
29786,12978535483000,1779984425256682421,0,18981,1
29787,12978568801000,1779984425289435193,0,13261,1
