frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
43595,13438630472000,1779984885351521224,0,16048,1
43596,13438663791000,1779984885384738268,0,16041,1
43597,13438697109000,1779984885418078404,0,16097,1
43598,13438730427000,1779984885451655148,0,16057,1
43599,13438763754000,1779984885484699972,0,16259,1
43600,13438797064000,1779984885517993053,0,16410,1
43601,13438830382000,1779984885551394447,0,16284,1
43602,13438863701000,1779984885585200263,0,16204,1
43603,13438897019000,1779984885618033996,0,16134,1
43604,13438930338000,1779984885651400928,0,16418,1
43605,13438963657000,1779984885684646213,0,16278,1
43606,13438996975000,1779984885719341835,0,16209,1
43607,13439030294000,1779984885751298114,0,16477,1
43608,13439063612000,1779984885784619806,0,16562,1
43609,13439096931000,1779984885818026200,0,16474,1
43610,13439130249000,1779984885851335169,0,16654,1
43611,13439163568000,1779984885886623785,0,16798,1
43612,13439196889000,1779984885918457695,0,16858,1
43613,13439230205000,1779984885951280707,0,16893,1
43614,13439263523000,1779984885984881895,0,16983,1
43615,13439296842000,1779984886017534112,0,7854,1
43616,13439330161000,1779984886053700626,0,16974,1
43617,13439363479000,1779984886086836986,0,16953,1
43618,13439396803000,1779984886119947383,0,16581,1
43619,13439430121000,1779984886153293241,0,16747,1
43620,13439463436000,1779984886184538139,0,16928,1
43621,13439496753000,1779984886226034524,1,85613,5
43622,13439530078000,1779984886253289445,0,34401,2
43623,13439563390000,1779984886284661619,0,18073,1
43624,13439596707000,1779984886317208096,0,8073,1
43625,13439630026000,1779984886350143051,0,7920,1
43626,13439663342000,1779984886383567945,0,7734,1
43627,13439696663000,1779984886419843587,0,7721,1
43628,13439729981000,1779984886450502881,0,11280,1
43629,13439763299000,1779984886483831535,0,11331,1
43630,13439796617000,1779984886517223411,0,10927,1
43631,13439829938000,1779984886550763230,0,10724,1
43632,13439863256000,1779984886583753128,0,10783,1
43633,13439896571000,1779984886616942247,0,10907,1
43634,13439929891000,1779984886650872191,0,15901,1
43635,13439963209000,1779984886684926227,0,16480,1
43636,13439996527000,1779984886720919909,0,16507,1
43637,13440029851000,1779984886751995661,0,16373,1
43638,13440063170000,1779984886785409592,0,16141,1
43639,13440096485000,1779984886821506070,0,16263,1
43640,13440129811000,1779984886851928884,0,16289,1
43641,13440163126000,1779984886884240252,0,16356,1
43642,13440196439000,1779984886919163890,0,16373,1
43643,13440229757000,1779984886950787043,0,16473,1
43644,13440263078000,1779984886984097939,0,16284,1
43645,13440296394000,1779984887017401223,0,16397,1
43646,13440329714000,1779984887050925116,0,16437,1
43647,13440363034000,1779984887085000318,0,16367,1
43648,13440396352000,1779984887117429334,0,16450,1
43649,13440429671000,1779984887150637822,0,16569,1
43650,13440462988000,1779984887184223511,0,16521,1
43651,13440496307000,1779984887217413334,0,16485,1
43652,13440529627000,1779984887250646600,0,16571,1
43653,13440562944000,1779984887283910033,0,16301,1
43654,13440596262000,1779984887316216457,0,7806,1
43655,13440629581000,1779984887350470287,0,16214,1
43656,13440662900000,1779984887383962162,0,16667,1
43657,13440696218000,1779984887417438444,0,16809,1
43658,13440729536000,1779984887450427009,0,16821,1
43659,13440762856000,1779984887484099642,0,16755,1
43660,13440796180000,1779984887519523700,0,17080,1
43661,13440829493000,1779984887550650470,0,16944,1
43662,13440862814000,1779984887584283695,0,17035,1
43663,13440896133000,1779984887617620312,0,17127,1
43664,13440929453000,1779984887650893171,0,16935,1
43665,13440962770000,1779984887685485460,0,17093,1
43666,13440996091000,1779984887722242301,0,16822,1
43667,13441029419000,1779984887751273111,0,16802,1
43668,13441062722000,1779984887784750949,0,16746,1
43669,13441096040000,1779984887818276435,0,16753,1
43670,13441129367000,1779984887853149295,0,16909,1
43671,13441162677000,1779984887884419545,0,16735,1
43672,13441195998000,1779984887917410444,0,16994,1
43673,13441229314000,1779984887952292304,0,17034,1
43674,13441262632000,1779984887983695126,0,11531,1
43675,13441295952000,1779984888018621838,0,16902,1
43676,13441329270000,1779984888054169803,0,17212,1
43677,13441362595000,1779984888085569533,0,17138,1
43678,13441395913000,1779984888119229480,0,17059,1
43679,13441429234000,1779984888150434453,0,16892,1
43680,13441462543000,1779984888184248694,0,16958,1
43681,13441495883000,1779984888224001671,1,86317,5
43682,13441529185000,1779984888256512815,0,34739,2
43683,13441562512000,1779984888288831239,0,18307,1
43684,13441595824000,1779984888318905909,0,8477,1
43685,13441629135000,1779984888350917577,0,6070,1
43686,13441662454000,1779984888382944356,0,8294,1
43687,13441695772000,1779984888416090679,0,8077,1
43688,13441729093000,1779984888449472536,0,7869,1
43689,13441762408000,1779984888483069114,0,11790,1
43690,13441795727000,1779984888516634691,0,11605,1
43691,13441829046000,1779984888549841625,0,11576,1
43692,13441862366000,1779984888602380543,0,11602,1
43693,13441895684000,1779984888634294378,0,11465,1
43694,13441929004000,1779984888669091332,0,11613,1
43695,13441962322000,1779984888702179526,0,17026,1
43696,13441995640000,1779984888733621459,0,17339,1
43697,13442028959000,1779984888770840110,0,11775,1
43698,13442062281000,1779984888799611349,0,17136,1
43699,13442095595000,1779984888829976701,0,17015,1
43700,13442128914000,1779984888863408761,0,17117,1
43701,13442162233000,1779984888900414118,0,17261,1
43702,13442195552000,1779984888934893427,0,16831,1
43703,13442228871000,1779984888967809197,0,16974,1
43704,13442262188000,1779984889001473514,0,16798,1
43705,13442295505000,1779984889034552579,0,16685,1
43706,13442328825000,1779984889068362747,0,17096,1
43707,13442362141000,1779984889099132965,0,17073,1
43708,13442395459000,1779984889132284824,0,17069,1
43709,13442428778000,1779984889165480591,0,17053,1
43710,13442462096000,1779984889200797206,0,17027,1
43711,13442495415000,1779984889234583726,0,16684,1
43712,13442528735000,1779984889272183910,0,16755,1
43713,13442562055000,1779984889300192879,0,16826,1
43714,13442595371000,1779984889331988605,0,16854,1
