segment_index,seg_basename,cumulative_start_frame,frame_count
198,seg_00198.ts,23794,120
199,seg_00199.ts,23914,120
200,seg_00200.ts,24034,120
201,seg_00201.ts,24154,120
202,seg_00202.ts,24274,120
203,seg_00203.ts,24394,120
204,seg_00204.ts,24514,120
205,seg_00205.ts,24634,120
206,seg_00206.ts,24754,120
207,seg_00207.ts,24874,120
208,seg_00208.ts,24994,120
209,seg_00209.ts,25114,120
210,seg_00210.ts,25234,120
211,seg_00211.ts,25354,120
212,seg_00212.ts,25474,120
213,seg_00213.ts,25594,120
214,seg_00214.ts,25714,120
215,seg_00215.ts,25834,120
216,seg_00216.ts,25954,120
217,seg_00217.ts,26074,120
218,seg_00218.ts,26194,120
219,seg_00219.ts,26314,120
220,seg_00220.ts,26434,120
221,seg_00221.ts,26554,120
222,seg_00222.ts,26674,120
223,seg_00223.ts,26794,120
224,seg_00224.ts,26914,120
225,seg_00225.ts,27034,120
226,seg_00226.ts,27154,120
227,seg_00227.ts,27274,120
228,seg_00228.ts,27394,120
229,seg_00229.ts,27514,120
230,seg_00230.ts,27634,120
231,seg_00231.ts,27754,120
232,seg_00232.ts,27874,120
233,seg_00233.ts,27994,120
234,seg_00234.ts,28114,120
235,seg_00235.ts,28234,120
236,seg_00236.ts,28354,120
237,seg_00237.ts,28474,120
238,seg_00238.ts,28594,120
239,seg_00239.ts,28714,120
240,seg_00240.ts,28834,120
241,seg_00241.ts,28954,120
242,seg_00242.ts,29074,120
243,seg_00243.ts,29194,120
244,seg_00244.ts,29314,120
245,seg_00245.ts,29434,120
246,seg_00246.ts,29554,120
247,seg_00247.ts,29674,120
248,seg_00248.ts,29794,120
249,seg_00249.ts,29914,120
250,seg_00250.ts,30034,120
251,seg_00251.ts,30154,120
252,seg_00252.ts,30274,120
253,seg_00253.ts,30394,120
254,seg_00254.ts,30514,120
255,seg_00255.ts,30634,120
256,seg_00256.ts,30754,120
257,seg_00257.ts,30874,120
258,seg_00258.ts,30994,120
259,seg_00259.ts,31114,120
260,seg_00260.ts,31234,120
261,seg_00261.ts,31354,120
262,seg_00262.ts,31474,120
263,seg_00263.ts,31594,120
264,seg_00264.ts,31714,120
265,seg_00265.ts,31834,120
266,seg_00266.ts,31954,120
267,seg_00267.ts,32074,120
268,seg_00268.ts,32194,120
269,seg_00269.ts,32314,120
270,seg_00270.ts,32434,120
271,seg_00271.ts,32554,120
272,seg_00272.ts,32674,120
273,seg_00273.ts,32794,120
274,seg_00274.ts,32914,120
275,seg_00275.ts,33034,120
276,seg_00276.ts,33154,120
277,seg_00277.ts,33274,120
278,seg_00278.ts,33394,120
279,seg_00279.ts,33514,120
280,seg_00280.ts,33634,120
281,seg_00281.ts,33754,120
282,seg_00282.ts,33874,120
283,seg_00283.ts,33994,120
284,seg_00284.ts,34114,120
285,seg_00285.ts,34234,120
286,seg_00286.ts,34354,120
287,seg_00287.ts,34474,120
288,seg_00288.ts,34594,120
289,seg_00289.ts,34714,110
290,seg_00290.ts,34824,120
291,seg_00291.ts,34944,120
292,seg_00292.ts,35064,120
293,seg_00293.ts,35184,120
294,seg_00294.ts,35304,120
295,seg_00295.ts,35424,120
296,seg_00296.ts,35544,120
297,seg_00297.ts,35664,120
298,seg_00298.ts,35784,120
299,seg_00299.ts,35904,120
300,seg_00300.ts,36024,120
301,seg_00301.ts,36144,120
302,seg_00302.ts,36264,120
303,seg_00303.ts,36384,120
304,seg_00304.ts,36504,120
305,seg_00305.ts,36624,120
306,seg_00306.ts,36744,120
307,seg_00307.ts,36864,120
308,seg_00308.ts,36984,120
309,seg_00309.ts,37104,120
310,seg_00310.ts,37224,120
311,seg_00311.ts,37344,120
312,seg_00312.ts,37464,120
313,seg_00313.ts,37584,120
314,seg_00314.ts,37704,120
315,seg_00315.ts,37824,120
316,seg_00316.ts,37944,120
317,seg_00317.ts,38064,120
318,seg_00318.ts,38184,120
319,seg_00319.ts,38304,120
320,seg_00320.ts,38424,120
321,seg_00321.ts,38544,120
322,seg_00322.ts,38664,120
323,seg_00323.ts,38784,120
324,seg_00324.ts,38904,120
325,seg_00325.ts,39024,120
326,seg_00326.ts,39144,120
327,seg_00327.ts,39264,120
328,seg_00328.ts,39384,120
329,seg_00329.ts,39504,120
330,seg_00330.ts,39624,120
331,seg_00331.ts,39744,120
332,seg_00332.ts,39864,120
333,seg_00333.ts,39984,120
334,seg_00334.ts,40104,120
335,seg_00335.ts,40224,120
336,seg_00336.ts,40344,120
337,seg_00337.ts,40464,120
338,seg_00338.ts,40584,120
339,seg_00339.ts,40704,120
340,seg_00340.ts,40824,120
341,seg_00341.ts,40944,120
342,seg_00342.ts,41064,120
343,seg_00343.ts,41184,120
344,seg_00344.ts,41304,120
345,seg_00345.ts,41424,120
346,seg_00346.ts,41544,120
347,seg_00347.ts,41664,120
348,seg_00348.ts,41784,120
349,seg_00349.ts,41904,120
350,seg_00350.ts,42024,120
351,seg_00351.ts,42144,120
352,seg_00352.ts,42264,120
353,seg_00353.ts,42384,120
354,seg_00354.ts,42504,120
355,seg_00355.ts,42624,120
356,seg_00356.ts,42744,120
357,seg_00357.ts,42864,120
358,seg_00358.ts,42984,120
359,seg_00359.ts,43104,120
360,seg_00360.ts,43224,120
361,seg_00361.ts,43344,120
362,seg_00362.ts,43464,120
363,seg_00363.ts,43584,120
364,seg_00364.ts,43704,120
365,seg_00365.ts,43824,120
366,seg_00366.ts,43944,120
367,seg_00367.ts,44064,120
368,seg_00368.ts,44184,120
369,seg_00369.ts,44304,120
370,seg_00370.ts,44424,120
371,seg_00371.ts,44544,120
372,seg_00372.ts,44664,120
373,seg_00373.ts,44784,120
374,seg_00374.ts,44904,120
375,seg_00375.ts,45024,120
376,seg_00376.ts,45144,120
377,seg_00377.ts,45264,120
378,seg_00378.ts,45384,120
379,seg_00379.ts,45504,120
380,seg_00380.ts,45624,120
381,seg_00381.ts,45744,120
382,seg_00382.ts,45864,120
383,seg_00383.ts,45984,120
384,seg_00384.ts,46104,120
385,seg_00385.ts,46224,120
386,seg_00386.ts,46344,120
387,seg_00387.ts,46464,120
388,seg_00388.ts,46584,120
389,seg_00389.ts,46704,120
390,seg_00390.ts,46824,120
391,seg_00391.ts,46944,120
392,seg_00392.ts,47064,120
393,seg_00393.ts,47184,120
394,seg_00394.ts,47304,120
395,seg_00395.ts,47424,120
396,seg_00396.ts,47544,174
397,seg_00397.ts,47718,60
398,seg_00398.ts,47778,120
399,seg_00399.ts,47898,120
400,seg_00400.ts,48018,120
401,seg_00401.ts,48138,120
402,seg_00402.ts,48258,120
403,seg_00403.ts,48378,120
404,seg_00404.ts,48498,120
405,seg_00405.ts,48618,120
406,seg_00406.ts,48738,120
407,seg_00407.ts,48858,120
408,seg_00408.ts,48978,120
409,seg_00409.ts,49098,120
410,seg_00410.ts,49218,120
411,seg_00411.ts,49338,120
412,seg_00412.ts,49458,120
413,seg_00413.ts,49578,120
414,seg_00414.ts,49698,120
415,seg_00415.ts,49818,120
416,seg_00416.ts,49938,120
417,seg_00417.ts,50058,120
418,seg_00418.ts,50178,120
419,seg_00419.ts,50298,120
420,seg_00420.ts,50418,120
421,seg_00421.ts,50538,120
422,seg_00422.ts,50658,120
423,seg_00423.ts,50778,120
424,seg_00424.ts,50898,120
425,seg_00425.ts,51018,120
426,seg_00426.ts,51138,120
427,seg_00427.ts,51258,120
428,seg_00428.ts,51378,120
429,seg_00429.ts,51498,120
430,seg_00430.ts,51618,111
431,seg_00431.ts,51729,120
432,seg_00432.ts,51849,120
433,seg_00433.ts,51969,120
434,seg_00434.ts,52089,120
435,seg_00435.ts,52209,120
436,seg_00436.ts,52329,120
437,seg_00437.ts,52449,120
438,seg_00438.ts,52569,120
439,seg_00439.ts,52689,120
440,seg_00440.ts,52809,120
441,seg_00441.ts,52929,120
442,seg_00442.ts,53049,120
443,seg_00443.ts,53169,120
444,seg_00444.ts,53289,114
445,seg_00445.ts,53403,120
446,seg_00446.ts,53523,120
447,seg_00447.ts,53643,120
448,seg_00448.ts,53763,120
449,seg_00449.ts,53883,120
450,seg_00450.ts,54003,120
451,seg_00451.ts,54123,120
452,seg_00452.ts,54243,120
453,seg_00453.ts,54363,120
454,seg_00454.ts,54483,120
455,seg_00455.ts,54603,120
456,seg_00456.ts,54723,120
457,seg_00457.ts,54843,120
458,seg_00458.ts,54963,120
459,seg_00459.ts,55083,120
460,seg_00460.ts,55203,120
461,seg_00461.ts,55323,120
462,seg_00462.ts,55443,120
463,seg_00463.ts,55563,120
464,seg_00464.ts,55683,120
465,seg_00465.ts,55803,120
466,seg_00466.ts,55923,120
467,seg_00467.ts,56043,120
468,seg_00468.ts,56163,120
469,seg_00469.ts,56283,120
470,seg_00470.ts,56403,120
471,seg_00471.ts,56523,120
472,seg_00472.ts,56643,120
473,seg_00473.ts,56763,120
474,seg_00474.ts,56883,120
475,seg_00475.ts,57003,120
476,seg_00476.ts,57123,120
477,seg_00477.ts,57243,120
478,seg_00478.ts,57363,120
479,seg_00479.ts,57483,120
480,seg_00480.ts,57603,120
481,seg_00481.ts,57723,120
482,seg_00482.ts,57843,120
483,seg_00483.ts,57963,120
484,seg_00484.ts,58083,120
485,seg_00485.ts,58203,120
486,seg_00486.ts,58323,120
487,seg_00487.ts,58443,120
488,seg_00488.ts,58563,120
489,seg_00489.ts,58683,120
490,seg_00490.ts,58803,120
491,seg_00491.ts,58923,120
492,seg_00492.ts,59043,120
493,seg_00493.ts,59163,120
494,seg_00494.ts,59283,120
495,seg_00495.ts,59403,120
496,seg_00496.ts,59523,120
497,seg_00497.ts,59643,120
498,seg_00498.ts,59763,120
499,seg_00499.ts,59883,120
500,seg_00500.ts,60003,120
501,seg_00501.ts,60123,118
502,seg_00502.ts,60241,120
503,seg_00503.ts,60361,120
504,seg_00504.ts,60481,120
505,seg_00505.ts,60601,120
506,seg_00506.ts,60721,120
507,seg_00507.ts,60841,120
508,seg_00508.ts,60961,120
509,seg_00509.ts,61081,176
510,seg_00510.ts,61257,120
511,seg_00511.ts,61377,120
512,seg_00512.ts,61497,120
513,seg_00513.ts,61617,120
514,seg_00514.ts,61737,120
515,seg_00515.ts,61857,120
516,seg_00516.ts,61977,120
517,seg_00517.ts,62097,120
518,seg_00518.ts,62217,120
519,seg_00519.ts,62337,120
520,seg_00520.ts,62457,120
521,seg_00521.ts,62577,120
522,seg_00522.ts,62697,120
523,seg_00523.ts,62817,120
524,seg_00524.ts,62937,120
525,seg_00525.ts,63057,120
526,seg_00526.ts,63177,120
527,seg_00527.ts,63297,120
528,seg_00528.ts,63417,120
529,seg_00529.ts,63537,120
530,seg_00530.ts,63657,120
531,seg_00531.ts,63777,120
532,seg_00532.ts,63897,120
533,seg_00533.ts,64017,120
534,seg_00534.ts,64137,120
535,seg_00535.ts,64257,120
536,seg_00536.ts,64377,120
537,seg_00537.ts,64497,120
538,seg_00538.ts,64617,120
539,seg_00539.ts,64737,120
540,seg_00540.ts,64857,120
541,seg_00541.ts,64977,120
542,seg_00542.ts,65097,120
543,seg_00543.ts,65217,120
544,seg_00544.ts,65337,120
545,seg_00545.ts,65457,120
546,seg_00546.ts,65577,120
547,seg_00547.ts,65697,120
548,seg_00548.ts,65817,120
549,seg_00549.ts,65937,120
550,seg_00550.ts,66057,120
551,seg_00551.ts,66177,120
552,seg_00552.ts,66297,120
553,seg_00553.ts,66417,120
554,seg_00554.ts,66537,120
555,seg_00555.ts,66657,120
556,seg_00556.ts,66777,120
557,seg_00557.ts,66897,120
558,seg_00558.ts,67017,120
559,seg_00559.ts,67137,120
560,seg_00560.ts,67257,120
561,seg_00561.ts,67377,120
562,seg_00562.ts,67497,120
563,seg_00563.ts,67617,120
564,seg_00564.ts,67737,120
565,seg_00565.ts,67857,120
566,seg_00566.ts,67977,120
567,seg_00567.ts,68097,120
568,seg_00568.ts,68217,120
569,seg_00569.ts,68337,120
570,seg_00570.ts,68457,120
571,seg_00571.ts,68577,120
572,seg_00572.ts,68697,120
573,seg_00573.ts,68817,120
574,seg_00574.ts,68937,120
575,seg_00575.ts,69057,120
576,seg_00576.ts,69177,120
577,seg_00577.ts,69297,120
578,seg_00578.ts,69417,120
579,seg_00579.ts,69537,120
580,seg_00580.ts,69657,120
581,seg_00581.ts,69777,120
582,seg_00582.ts,69897,120
583,seg_00583.ts,70017,120
584,seg_00584.ts,70137,120
585,seg_00585.ts,70257,120
586,seg_00586.ts,70377,120
587,seg_00587.ts,70497,120
588,seg_00588.ts,70617,120
589,seg_00589.ts,70737,120
590,seg_00590.ts,70857,120
591,seg_00591.ts,70977,120
592,seg_00592.ts,71097,120
593,seg_00593.ts,71217,120
594,seg_00594.ts,71337,120
595,seg_00595.ts,71457,120
596,seg_00596.ts,71577,120
597,seg_00597.ts,71697,120
598,seg_00598.ts,71817,120
599,seg_00599.ts,71937,120
600,seg_00600.ts,72057,120
601,seg_00601.ts,72177,120
602,seg_00602.ts,72297,120
603,seg_00603.ts,72417,120
604,seg_00604.ts,72537,120
605,seg_00605.ts,72657,120
606,seg_00606.ts,72777,120
607,seg_00607.ts,72897,120
608,seg_00608.ts,73017,120
609,seg_00609.ts,73137,120
610,seg_00610.ts,73257,120
611,seg_00611.ts,73377,120
612,seg_00612.ts,73497,120
613,seg_00613.ts,73617,120
614,seg_00614.ts,73737,120
615,seg_00615.ts,73857,120
616,seg_00616.ts,73977,120
617,seg_00617.ts,74097,120
618,seg_00618.ts,74217,120
619,seg_00619.ts,74337,120
620,seg_00620.ts,74457,120
621,seg_00621.ts,74577,120
622,seg_00622.ts,74697,120
623,seg_00623.ts,74817,120
624,seg_00624.ts,74937,120
625,seg_00625.ts,75057,120
626,seg_00626.ts,75177,120
627,seg_00627.ts,75297,120
628,seg_00628.ts,75417,120
629,seg_00629.ts,75537,120
630,seg_00630.ts,75657,120
631,seg_00631.ts,75777,120
632,seg_00632.ts,75897,120
633,seg_00633.ts,76017,120
634,seg_00634.ts,76137,120
635,seg_00635.ts,76257,120
636,seg_00636.ts,76377,120
637,seg_00637.ts,76497,120
638,seg_00638.ts,76617,120
639,seg_00639.ts,76737,120
640,seg_00640.ts,76857,120
641,seg_00641.ts,76977,117
642,seg_00642.ts,77094,120
643,seg_00643.ts,77214,120
644,seg_00644.ts,77334,120
645,seg_00645.ts,77454,120
646,seg_00646.ts,77574,120
647,seg_00647.ts,77694,120
648,seg_00648.ts,77814,120
649,seg_00649.ts,77934,120
650,seg_00650.ts,78054,120
651,seg_00651.ts,78174,120
652,seg_00652.ts,78294,120
653,seg_00653.ts,78414,120
654,seg_00654.ts,78534,120
655,seg_00655.ts,78654,120
656,seg_00656.ts,78774,120
657,seg_00657.ts,78894,108
658,seg_00658.ts,79002,120
659,seg_00659.ts,79122,120
660,seg_00660.ts,79242,120
661,seg_00661.ts,79362,120
662,seg_00662.ts,79482,120
663,seg_00663.ts,79602,120
664,seg_00664.ts,79722,120
665,seg_00665.ts,79842,120
666,seg_00666.ts,79962,120
667,seg_00667.ts,80082,120
668,seg_00668.ts,80202,120
669,seg_00669.ts,80322,120
670,seg_00670.ts,80442,120
671,seg_00671.ts,80562,120
672,seg_00672.ts,80682,120
673,seg_00673.ts,80802,120
674,seg_00674.ts,80922,120
675,seg_00675.ts,81042,120
676,seg_00676.ts,81162,120
677,seg_00677.ts,81282,120
678,seg_00678.ts,81402,120
679,seg_00679.ts,81522,120
680,seg_00680.ts,81642,120
681,seg_00681.ts,81762,120
682,seg_00682.ts,81882,120
683,seg_00683.ts,82002,120
684,seg_00684.ts,82122,120
685,seg_00685.ts,82242,120
686,seg_00686.ts,82362,120
687,seg_00687.ts,82482,120
688,seg_00688.ts,82602,120
689,seg_00689.ts,82722,120
690,seg_00690.ts,82842,120
691,seg_00691.ts,82962,120
692,seg_00692.ts,83082,120
693,seg_00693.ts,83202,120
694,seg_00694.ts,83322,120
695,seg_00695.ts,83442,120
696,seg_00696.ts,83562,120
697,seg_00697.ts,83682,120
698,seg_00698.ts,83802,120
699,seg_00699.ts,83922,120
700,seg_00700.ts,84042,120
701,seg_00701.ts,84162,120
702,seg_00702.ts,84282,120
703,seg_00703.ts,84402,120
704,seg_00704.ts,84522,120
705,seg_00705.ts,84642,120
706,seg_00706.ts,84762,120
707,seg_00707.ts,84882,120
708,seg_00708.ts,85002,120
709,seg_00709.ts,85122,120
710,seg_00710.ts,85242,120
711,seg_00711.ts,85362,120
712,seg_00712.ts,85482,120
713,seg_00713.ts,85602,120
714,seg_00714.ts,85722,120
715,seg_00715.ts,85842,120
716,seg_00716.ts,85962,120
717,seg_00717.ts,86082,120
718,seg_00718.ts,86202,120
719,seg_00719.ts,86322,120
720,seg_00720.ts,86442,120
721,seg_00721.ts,86562,110
722,seg_00722.ts,86672,120
723,seg_00723.ts,86792,120
724,seg_00724.ts,86912,120
725,seg_00725.ts,87032,120
726,seg_00726.ts,87152,120
727,seg_00727.ts,87272,120
728,seg_00728.ts,87392,120
729,seg_00729.ts,87512,120
730,seg_00730.ts,87632,120
731,seg_00731.ts,87752,120
732,seg_00732.ts,87872,120
733,seg_00733.ts,87992,120
734,seg_00734.ts,88112,120
735,seg_00735.ts,88232,120
736,seg_00736.ts,88352,120
737,seg_00737.ts,88472,120
738,seg_00738.ts,88592,120
739,seg_00739.ts,88712,120
740,seg_00740.ts,88832,120
741,seg_00741.ts,88952,120
742,seg_00742.ts,89072,120
