frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
67873,14248137224000,1779985693345925894,0,14248,1
67874,14248170542000,1779985693378671121,0,14123,1
67875,14248203861000,1779985693409824314,0,14166,1
67876,14248237179000,1779985693442927147,0,14328,1
67877,14248270497000,1779985693475970740,0,13987,1
67878,14248303816000,1779985693509367383,0,13915,1
67879,14248337134000,1779985693542824674,0,14362,1
67880,14248370453000,1779985693576047635,0,14358,1
67881,14248403770000,1779985693609490222,0,14354,1
67882,14248437089000,1779985693642966605,0,14273,1
67883,14248470408000,1779985693679646944,0,20405,1
67884,14248503728000,1779985693710788619,0,14121,1
67885,14248537044000,1779985693753507650,0,14229,1
67886,14248570364000,1779985693765170728,0,14097,1
67887,14248603679000,1779985693791931797,0,20370,1
67888,14248636998000,1779985693824603877,0,14062,1
67889,14248670324000,1779985693857959688,0,14489,1
67890,14248703635000,1779985693892790089,0,20347,1
67891,14248736956000,1779985693931732636,0,14788,1
67892,14248770273000,1779985693961471979,0,14679,1
67893,14248803602000,1779985693993090314,0,14513,1
67894,14248836912000,1779985694026282072,0,20797,2
67895,14248870228000,1779985694059685586,0,14407,1
67896,14248903549000,1779985694092297129,0,20665,2
67897,14248936866000,1779985694129570848,0,14435,1
67898,14248970183000,1779985694157859137,0,14590,1
67899,14249003501000,1779985694192022436,0,21259,2
67900,14249036827000,1779985694226112978,0,14977,1
67901,14249070140000,1779985694258134752,0,15270,1
67902,14249103457000,1779985694293186446,0,14880,1
67903,14249136776000,1779985694325544215,0,21062,2
67904,14249170095000,1779985694359288372,0,14810,1
67905,14249203415000,1779985694392895568,0,15773,1
67906,14249236735000,1779985694426430691,0,15083,1
67907,14249270056000,1779985694460483196,0,21142,2
67908,14249303379000,1779985694491214803,0,14920,1
67909,14249336686000,1779985694525585192,0,14737,1
67910,14249370011000,1779985694558244050,0,14730,1
67911,14249403323000,1779985694594472191,0,21283,2
67912,14249436651000,1779985694630106655,0,15174,1
67913,14249469968000,1779985694663447521,0,15226,1
67914,14249503288000,1779985694695891215,0,15269,1
67915,14249536608000,1779985694729202897,0,21627,2
67916,14249569931000,1779985694760679789,0,15040,1
67917,14249603235000,1779985694791691800,0,21736,2
67918,14249636552000,1779985694824331176,0,15010,1
67919,14249669872000,1779985694857905113,0,14974,1
67920,14249703190000,1779985694891753639,0,21352,2
67921,14249736509000,1779985694930599207,1,101868,5
67922,14249769826000,1779985694959442266,0,29350,2
67923,14249803146000,1779985694991329116,0,16426,1
67924,14249836464000,1779985695023702959,0,8774,1
67925,14249869783000,1779985695056811754,0,7265,1
67926,14249903100000,1779985695090408136,0,7061,1
67927,14249936420000,1779985695123524672,0,7446,1
67928,14249969737000,1779985695157077091,0,9532,1
67929,14250003057000,1779985695190410310,0,9392,1
67930,14250036374000,1779985695223692529,0,9078,1
67931,14250069693000,1779985695259064274,0,11833,1
67932,14250103011000,1779985695290584000,0,11324,1
67933,14250136330000,1779985695323804590,0,11568,1
67934,14250169649000,1779985695357136624,0,11299,1
67935,14250202968000,1779985695390274400,0,11275,1
67936,14250236284000,1779985695424028891,0,15666,1
67937,14250269604000,1779985695457392961,0,15014,1
67938,14250302922000,1779985695490670291,0,15241,1
67939,14250336240000,1779985695523919770,0,15028,1
67940,14250369559000,1779985695559292219,0,15119,1
67941,14250402878000,1779985695590684687,0,15610,1
67942,14250436196000,1779985695624062294,0,15939,1
67943,14250469515000,1779985695657327809,0,15748,1
67944,14250502832000,1779985695690664732,0,16152,1
67945,14250536151000,1779985695724102689,0,17905,1
67946,14250569470000,1779985695758109306,0,13443,1
67947,14250602788000,1779985695790285244,0,13476,1
67948,14250636106000,1779985695823538593,0,13139,1
67949,14250669425000,1779985695857397767,0,17244,1
67950,14250702744000,1779985695890588581,0,16633,1
67951,14250736062000,1779985695923997335,0,17603,1
67952,14250769381000,1779985695957404460,0,17269,1
67953,14250802700000,1779985695990593162,0,16442,1
67954,14250836017000,1779985696023921473,0,16149,1
67955,14250869336000,1779985696058550210,0,16244,1
67956,14250902657000,1779985696091355121,0,16160,1
67957,14250935975000,1779985696123771260,0,16090,1
67958,14250969293000,1779985696159249560,0,16627,1
67959,14251002613000,1779985696190601528,0,17641,1
67960,14251035930000,1779985696223717305,0,17166,1
67961,14251069248000,1779985696257156763,0,17530,1
67962,14251102566000,1779985696291437561,0,16702,1
67963,14251135885000,1779985696323594240,0,16178,1
67964,14251169202000,1779985696358584269,0,15324,1
67965,14251202522000,1779985696390348491,0,16681,1
67966,14251235840000,1779985696423665209,0,18221,1
67967,14251269159000,1779985696456414918,0,12321,1
67968,14251302478000,1779985696490278277,0,16598,1
67969,14251335795000,1779985696523524367,0,15636,1
67970,14251369115000,1779985696556800549,0,16229,1
67971,14251402432000,1779985696590234062,0,17315,1
67972,14251435751000,1779985696623563762,0,16995,1
67973,14251469069000,1779985696656765890,0,16409,1
67974,14251502389000,1779985696690041128,0,15330,1
67975,14251535707000,1779985696723953135,0,21828,2
67976,14251569025000,1779985696756676732,0,15370,1
67977,14251602343000,1779985696791357006,0,15975,1
67978,14251635663000,1779985696823997345,0,21689,2
67979,14251668981000,1779985696856594185,0,15095,1
67980,14251702299000,1779985696892572070,0,21025,2
67981,14251735617000,1779985696929219150,1,98313,5
67982,14251768935000,1779985696958435944,0,28733,2
67983,14251802256000,1779985696989873467,0,14940,1
67984,14251835573000,1779985697022499658,0,8410,1
67985,14251868892000,1779985697055530640,0,6396,1
67986,14251902210000,1779985697089771828,0,6571,1
67987,14251935530000,1779985697122498684,0,8567,1
