frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
35117,13156157202000,1779984601364350045,0,18914,1
35118,13156190522000,1779984601396139508,0,12834,1
35119,13156223840000,1779984601430536341,0,18835,1
35120,13156257158000,1779984601463001313,0,12622,1
35121,13156290476000,1779984601497173946,0,18854,1
35122,13156323796000,1779984601530714125,0,18580,1
35123,13156357115000,1779984601563866013,0,18879,1
35124,13156390433000,1779984601596338226,0,12746,1
35125,13156423753000,1779984601630397268,0,18550,1
35126,13156457071000,1779984601662694834,0,12588,1
35127,13156490388000,1779984601697079113,0,18484,1
35128,13156523708000,1779984601734576903,0,18515,1
35129,13156557025000,1779984601763918196,0,18207,1
35130,13156590345000,1779984601796032117,0,12414,1
35131,13156623663000,1779984601830296342,0,18319,1
35132,13156656982000,1779984601865909603,0,18431,1
35133,13156690299000,1779984601898883845,0,12711,1
35134,13156723665000,1779984601931231893,0,18631,1
35135,13156756937000,1779984601962091405,0,18789,1
35136,13156790256000,1779984601990780708,0,12421,1
35137,13156823574000,1779984602026035715,0,18573,1
35138,13156856892000,1779984602060160071,0,18340,1
35139,13156890210000,1779984602103607574,0,18447,1
35140,13156923531000,1779984602134417069,0,12266,1
35141,13156956848000,1779984602165357710,0,18257,1
35142,13156990167000,1779984602199067146,0,18257,1
35143,13157023485000,1779984602231928297,0,18530,1
35144,13157056803000,1779984602263011344,0,12373,1
35145,13157090122000,1779984602296695928,0,18432,1
35146,13157123439000,1779984602330174386,0,18338,1
35147,13157156758000,1779984602362452916,0,12396,1
35148,13157190077000,1779984602396527902,0,18052,1
35149,13157223395000,1779984602431260101,0,18079,1
35150,13157256714000,1779984602466011504,0,18207,1
35151,13157290033000,1779984602503556479,0,18150,1
35152,13157323351000,1779984602529637096,0,12313,1
35153,13157356669000,1779984602562670059,0,18093,1
35154,13157389988000,1779984602597090745,0,18146,1
35155,13157423306000,1779984602627808241,0,12438,1
35156,13157456625000,1779984602661570083,0,18316,1
35157,13157489943000,1779984602699155039,0,18436,1
