frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
72195,14392139725000,1779985837327375057,0,12943,1
72196,14392173044000,1779985837360580870,0,12939,1
72197,14392206362000,1779985837394506395,0,12788,1
72198,14392239683000,1779985837428165590,0,12813,1
72199,14392273002000,1779985837463074768,0,18711,1
72200,14392306327000,1779985837496872647,0,18463,1
72201,14392339640000,1779985837529826852,0,12365,1
72202,14392372960000,1779985837561136729,0,18610,1
72203,14392406273000,1779985837595399009,0,18463,1
72204,14392439593000,1779985837628554397,0,18523,1
72205,14392472908000,1779985837662386090,0,12395,1
72206,14392506235000,1779985837699460571,0,18415,1
72207,14392539554000,1779985837732407776,0,18483,1
72208,14392572877000,1779985837764875359,0,12329,1
72209,14392606198000,1779985837798658701,0,18110,1
72210,14392639510000,1779985837830411053,0,18139,1
72211,14392672832000,1779985837862747044,0,18024,1
72212,14392706140000,1779985837897411115,0,17928,1
72213,14392739475000,1779985837929761736,0,12248,1
72214,14392772792000,1779985837962845940,0,18079,1
72215,14392806111000,1779985837996742687,0,18087,1
72216,14392839415000,1779985838031381925,0,18072,1
72217,14392872732000,1779985838062648154,0,12235,1
72218,14392906064000,1779985838095495287,0,18314,1
72219,14392939384000,1779985838130315521,0,18196,1
72220,14392972690000,1779985838162944194,0,12455,1
72221,14393006010000,1779985838194411587,0,18489,1
72222,14393039325000,1779985838228318409,0,18325,1
72223,14393072644000,1779985838273674367,0,12603,1
72224,14393105964000,1779985838314706792,0,18665,1
72225,14393139281000,1779985838346651493,0,18549,1
72226,14393172601000,1779985838379078799,0,12686,1
72227,14393205918000,1779985838413068601,0,18534,1
72228,14393239237000,1779985838446609372,0,12768,1
72229,14393272557000,1779985838480328289,0,18932,1
72230,14393305874000,1779985838513474084,0,18956,1
72231,14393339193000,1779985838545623542,0,12596,1
72232,14393372510000,1779985838580196817,0,18622,1
72233,14393405830000,1779985838609688700,0,12678,1
72234,14393439147000,1779985838643971017,0,18543,1
72235,14393472466000,1779985838674855696,0,12614,1
72236,14393505785000,1779985838707447128,0,18095,1
72237,14393539104000,1779985838739651400,0,18331,1
72238,14393572421000,1779985838775928929,0,12359,1
72239,14393605739000,1779985838809771955,0,18238,1
72240,14393639057000,1779985838842155132,0,12337,1
72241,14393672376000,1779985838891586218,1,98901,5
72242,14393705693000,1779985838913363746,0,26339,2
72243,14393739013000,1779985838945692683,0,13731,1
72244,14393772333000,1779985838976674323,0,6483,1
72245,14393805650000,1779985839009842951,0,6491,1
72246,14393838969000,1779985839043755329,0,9116,1
72247,14393872288000,1779985839076779866,0,9062,1
72248,14393905606000,1779985839110374544,0,8922,1
72249,14393938925000,1779985839144508678,0,13211,1
72250,14393972244000,1779985839182305130,0,12989,1
72251,14394005562000,1779985839214053149,0,12720,1
72252,14394038881000,1779985839246854763,0,12688,1
72253,14394072200000,1779985839280781696,0,12821,1
72254,14394105519000,1779985839311178382,0,12888,1
72255,14394138836000,1779985839344882984,0,12985,1
72256,14394172154000,1779985839380303784,0,12731,1
72257,14394205474000,1779985839410974874,0,12713,1
72258,14394238792000,1779985839445437651,0,18922,1
72259,14394272110000,1779985839477589089,0,12969,1
72260,14394305429000,1779985839512284993,0,19240,1
72261,14394338747000,1779985839544311285,0,13173,1
72262,14394372066000,1779985839578615472,0,18997,1
72263,14394405384000,1779985839610813669,0,13018,1
72264,14394438702000,1779985839645209614,0,19476,1
72265,14394472023000,1779985839680130958,0,13053,1
72266,14394505340000,1779985839712699002,0,19211,1
72267,14394538658000,1779985839744052823,0,12566,1
72268,14394571977000,1779985839780364870,0,18845,1
72269,14394605295000,1779985839812188906,0,18827,1
72270,14394638614000,1779985839846439445,0,18692,1
72271,14394671931000,1779985839877938467,0,12512,1
72272,14394705250000,1779985839911975231,0,18437,1
72273,14394738569000,1779985839945481948,0,18397,1
72274,14394771887000,1779985839978270378,0,12580,1
72275,14394805206000,1779985840012156647,0,18484,1
72276,14394838525000,1779985840045448683,0,18772,1
72277,14394871842000,1779985840077455398,0,13123,1
72278,14394905161000,1779985840111983201,0,19121,1
72279,14394938479000,1779985840144260335,0,13233,1
72280,14394971797000,1779985840178449053,0,19393,1
72281,14395005115000,1779985840210638449,0,13478,1
72282,14395038433000,1779985840245174344,0,19793,1
72283,14395071751000,1779985840277269390,0,13548,1
72284,14395105070000,1779985840310686683,0,13773,1
