segment_index,seg_basename,cumulative_start_frame,frame_count
428,seg_00428.ts,51420,120
429,seg_00429.ts,51540,120
430,seg_00430.ts,51660,120
431,seg_00431.ts,51780,120
432,seg_00432.ts,51900,120
433,seg_00433.ts,52020,120
434,seg_00434.ts,52140,120
435,seg_00435.ts,52260,120
436,seg_00436.ts,52380,120
437,seg_00437.ts,52500,120
438,seg_00438.ts,52620,120
439,seg_00439.ts,52740,120
440,seg_00440.ts,52860,120
441,seg_00441.ts,52980,120
442,seg_00442.ts,53100,120
443,seg_00443.ts,53220,120
444,seg_00444.ts,53340,120
445,seg_00445.ts,53460,120
446,seg_00446.ts,53580,120
447,seg_00447.ts,53700,120
448,seg_00448.ts,53820,120
449,seg_00449.ts,53940,120
450,seg_00450.ts,54060,120
451,seg_00451.ts,54180,120
452,seg_00452.ts,54300,120
453,seg_00453.ts,54420,120
454,seg_00454.ts,54540,120
455,seg_00455.ts,54660,120
456,seg_00456.ts,54780,120
457,seg_00457.ts,54900,120
458,seg_00458.ts,55020,120
459,seg_00459.ts,55140,120
460,seg_00460.ts,55260,120
461,seg_00461.ts,55380,120
462,seg_00462.ts,55500,120
463,seg_00463.ts,55620,120
464,seg_00464.ts,55740,120
465,seg_00465.ts,55860,120
466,seg_00466.ts,55980,120
467,seg_00467.ts,56100,120
468,seg_00468.ts,56220,120
469,seg_00469.ts,56340,120
470,seg_00470.ts,56460,120
471,seg_00471.ts,56580,120
472,seg_00472.ts,56700,120
473,seg_00473.ts,56820,120
474,seg_00474.ts,56940,120
475,seg_00475.ts,57060,120
476,seg_00476.ts,57180,120
477,seg_00477.ts,57300,120
478,seg_00478.ts,57420,120
479,seg_00479.ts,57540,120
480,seg_00480.ts,57660,120
481,seg_00481.ts,57780,120
482,seg_00482.ts,57900,120
483,seg_00483.ts,58020,120
484,seg_00484.ts,58140,120
485,seg_00485.ts,58260,120
486,seg_00486.ts,58380,120
487,seg_00487.ts,58500,120
488,seg_00488.ts,58620,120
489,seg_00489.ts,58740,120
490,seg_00490.ts,58860,120
491,seg_00491.ts,58980,120
492,seg_00492.ts,59100,120
493,seg_00493.ts,59220,120
494,seg_00494.ts,59340,120
495,seg_00495.ts,59460,120
496,seg_00496.ts,59580,120
497,seg_00497.ts,59700,120
498,seg_00498.ts,59820,120
499,seg_00499.ts,59940,120
500,seg_00500.ts,60060,120
501,seg_00501.ts,60180,120
502,seg_00502.ts,60300,120
503,seg_00503.ts,60420,120
504,seg_00504.ts,60540,120
505,seg_00505.ts,60660,120
506,seg_00506.ts,60780,120
507,seg_00507.ts,60900,120
508,seg_00508.ts,61020,120
509,seg_00509.ts,61140,120
510,seg_00510.ts,61260,120
511,seg_00511.ts,61380,120
512,seg_00512.ts,61500,120
513,seg_00513.ts,61620,120
514,seg_00514.ts,61740,120
515,seg_00515.ts,61860,120
516,seg_00516.ts,61980,120
517,seg_00517.ts,62100,120
518,seg_00518.ts,62220,120
519,seg_00519.ts,62340,120
520,seg_00520.ts,62460,120
521,seg_00521.ts,62580,120
522,seg_00522.ts,62700,120
523,seg_00523.ts,62820,120
524,seg_00524.ts,62940,120
525,seg_00525.ts,63060,120
526,seg_00526.ts,63180,120
527,seg_00527.ts,63300,120
528,seg_00528.ts,63420,120
529,seg_00529.ts,63540,120
530,seg_00530.ts,63660,120
531,seg_00531.ts,63780,120
532,seg_00532.ts,63900,120
533,seg_00533.ts,64020,120
534,seg_00534.ts,64140,120
535,seg_00535.ts,64260,120
536,seg_00536.ts,64380,120
537,seg_00537.ts,64500,120
538,seg_00538.ts,64620,120
539,seg_00539.ts,64740,120
540,seg_00540.ts,64860,120
541,seg_00541.ts,64980,120
542,seg_00542.ts,65100,120
543,seg_00543.ts,65220,120
544,seg_00544.ts,65340,120
545,seg_00545.ts,65460,120
546,seg_00546.ts,65580,120
547,seg_00547.ts,65700,120
548,seg_00548.ts,65820,120
549,seg_00549.ts,65940,120
550,seg_00550.ts,66060,120
551,seg_00551.ts,66180,120
552,seg_00552.ts,66300,120
553,seg_00553.ts,66420,120
554,seg_00554.ts,66540,120
555,seg_00555.ts,66660,120
556,seg_00556.ts,66780,120
557,seg_00557.ts,66900,120
558,seg_00558.ts,67020,120
559,seg_00559.ts,67140,120
560,seg_00560.ts,67260,120
561,seg_00561.ts,67380,120
562,seg_00562.ts,67500,120
563,seg_00563.ts,67620,120
564,seg_00564.ts,67740,120
565,seg_00565.ts,67860,120
566,seg_00566.ts,67980,120
567,seg_00567.ts,68100,120
568,seg_00568.ts,68220,120
569,seg_00569.ts,68340,120
570,seg_00570.ts,68460,120
571,seg_00571.ts,68580,120
572,seg_00572.ts,68700,120
573,seg_00573.ts,68820,120
574,seg_00574.ts,68940,120
575,seg_00575.ts,69060,120
576,seg_00576.ts,69180,120
577,seg_00577.ts,69300,120
578,seg_00578.ts,69420,120
579,seg_00579.ts,69540,120
580,seg_00580.ts,69660,120
581,seg_00581.ts,69780,120
582,seg_00582.ts,69900,120
583,seg_00583.ts,70020,120
584,seg_00584.ts,70140,120
585,seg_00585.ts,70260,120
586,seg_00586.ts,70380,120
587,seg_00587.ts,70500,120
588,seg_00588.ts,70620,120
589,seg_00589.ts,70740,120
590,seg_00590.ts,70860,120
591,seg_00591.ts,70980,120
592,seg_00592.ts,71100,120
593,seg_00593.ts,71220,120
594,seg_00594.ts,71340,120
595,seg_00595.ts,71460,120
596,seg_00596.ts,71580,120
597,seg_00597.ts,71700,120
598,seg_00598.ts,71820,120
599,seg_00599.ts,71940,120
600,seg_00600.ts,72060,120
601,seg_00601.ts,72180,120
602,seg_00602.ts,72300,120
603,seg_00603.ts,72420,120
604,seg_00604.ts,72540,120
605,seg_00605.ts,72660,120
606,seg_00606.ts,72780,120
607,seg_00607.ts,72900,120
608,seg_00608.ts,73020,120
609,seg_00609.ts,73140,120
610,seg_00610.ts,73260,120
611,seg_00611.ts,73380,120
612,seg_00612.ts,73500,120
613,seg_00613.ts,73620,120
614,seg_00614.ts,73740,120
615,seg_00615.ts,73860,120
616,seg_00616.ts,73980,120
617,seg_00617.ts,74100,120
618,seg_00618.ts,74220,120
619,seg_00619.ts,74340,120
620,seg_00620.ts,74460,120
621,seg_00621.ts,74580,120
622,seg_00622.ts,74700,120
623,seg_00623.ts,74820,120
624,seg_00624.ts,74940,120
625,seg_00625.ts,75060,120
626,seg_00626.ts,75180,120
627,seg_00627.ts,75300,120
628,seg_00628.ts,75420,120
629,seg_00629.ts,75540,120
630,seg_00630.ts,75660,120
631,seg_00631.ts,75780,120
632,seg_00632.ts,75900,120
633,seg_00633.ts,76020,120
634,seg_00634.ts,76140,120
635,seg_00635.ts,76260,120
636,seg_00636.ts,76380,120
637,seg_00637.ts,76500,120
638,seg_00638.ts,76620,120
639,seg_00639.ts,76740,120
640,seg_00640.ts,76860,120
641,seg_00641.ts,76980,120
642,seg_00642.ts,77100,120
643,seg_00643.ts,77220,120
644,seg_00644.ts,77340,120
645,seg_00645.ts,77460,120
646,seg_00646.ts,77580,120
647,seg_00647.ts,77700,120
648,seg_00648.ts,77820,120
649,seg_00649.ts,77940,120
650,seg_00650.ts,78060,120
651,seg_00651.ts,78180,120
652,seg_00652.ts,78300,120
653,seg_00653.ts,78420,120
654,seg_00654.ts,78540,120
655,seg_00655.ts,78660,120
