frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
41596,6122388530000,1784218837449997728,0,17570,1
41597,6122421847000,1784218837495512855,0,17475,1
41598,6122455167000,1784218837529851990,0,17747,1
41599,6122488486000,1784218837563535800,0,17783,1
41600,6122521805000,1784218837597535513,0,12055,1
41601,6122555122000,1784218837632324252,0,17703,1
41602,6122588442000,1784218837666327298,0,17749,1
41603,6122621759000,1784218837702032487,0,17544,1
41604,6122655078000,1784218837734762495,0,17558,1
41605,6122688396000,1784218837770693237,0,17580,1
41606,6122721715000,1784218837801283646,0,11835,1
41607,6122755037000,1784218837836095477,0,17730,1
41608,6122788354000,1784218837869088704,0,17545,1
41609,6122821672000,1784218837889959988,0,17655,1
41610,6122854991000,1784218837916838670,0,17761,1
41611,6122888308000,1784218837950707015,0,12087,1
41612,6122921626000,1784218837982971048,0,17752,1
41613,6122954943000,1784218838016278178,0,17651,1
41614,6122988262000,1784218838051348024,0,17516,1
41615,6123021579000,1784218838083428023,0,17623,1
41616,6123054899000,1784218838116816615,0,17644,1
41617,6123088221000,1784218838149236239,0,11825,1
41618,6123121535000,1784218838183422893,0,17578,1
41619,6123154855000,1784218838216749134,0,17603,1
41620,6123188172000,1784218838251826758,0,17557,1
41621,6123221493000,1784218838284186975,0,17456,1
41622,6123254823000,1784218838318112634,0,17551,1
41623,6123288133000,1784218838351485911,0,11732,1
41624,6123321453000,1784218838382597331,0,17109,1
41625,6123354766000,1784218838418648886,0,17284,1
41626,6123388104000,1784218838451107416,0,17346,1
41627,6123421405000,1784218838484937576,0,17055,1
41628,6123454723000,1784218838516995501,0,17101,1
41629,6123488042000,1784218838551580632,0,17294,1
41630,6123521362000,1784218838583254062,0,17158,1
41631,6123554681000,1784218838616513415,0,11491,1
41632,6123588002000,1784218838649353570,0,17124,1
41633,6123621314000,1784218838683628002,0,17339,1
41634,6123654632000,1784218838715874165,0,17406,1
41635,6123687951000,1784218838750864438,0,17315,1
41636,6123721270000,1784218838781903025,0,11459,1
41637,6123754587000,1784218838815770814,0,17052,1
41638,6123787907000,1784218838849149110,0,17031,1
41639,6123821224000,1784218838882734606,0,11480,1
41640,6123854547000,1784218838916017440,0,11412,1
41641,6123887866000,1784218838956870003,1,110383,6
41642,6123921182000,1784218838984715986,0,36952,2
41643,6123954500000,1784218839016298288,0,18834,1
41644,6123987819000,1784218839048236623,0,8183,1
41645,6124021135000,1784218839081369125,0,5813,1
41646,6124054454000,1784218839114505184,0,5842,1
41647,6124087771000,1784218839147824739,0,5530,1
41648,6124121091000,1784218839181886803,0,7727,1
41649,6124154409000,1784218839219118897,0,7715,1
41650,6124187736000,1784218839248349788,0,7746,1
41651,6124221047000,1784218839283957626,0,11750,1
41652,6124254365000,1784218839315187119,0,11781,1
41653,6124287687000,1784218839349883655,0,11585,1
41654,6124321005000,1784218839381928155,0,11623,1
41655,6124354321000,1784218839417218961,0,11461,1
41656,6124387646000,1784218839450725588,0,11502,1
41657,6124420960000,1784218839484042366,0,17383,1
41658,6124454277000,1784218839515349894,0,11488,1
41659,6124487594000,1784218839550392833,0,17338,1
41660,6124520915000,1784218839583421337,0,17165,1
41661,6124554232000,1784218839615733333,0,17045,1
41662,6124587554000,1784218839652796337,0,17177,1
41663,6124620868000,1784218839682355463,0,17332,1
41664,6124654188000,1784218839716407287,0,17231,1
41665,6124687510000,1784218839749654695,0,17548,1
41666,6124720828000,1784218839786291797,0,17447,1
41667,6124754144000,1784218839817338051,0,17618,1
41668,6124787472000,1784218839851081564,0,17687,1
41669,6124820787000,1784218839886089411,0,17682,1
41670,6124854099000,1784218839915534113,0,17539,1
41671,6124887416000,1784218839949803082,0,11682,1
41672,6124920737000,1784218839983480059,0,17474,1
41673,6124954066000,1784218840024656228,0,17295,1
41674,6124987376000,1784218840054747680,0,17341,1
41675,6125020698000,1784218840087956534,0,17433,1
41676,6125054020000,1784218840121216312,0,17412,1
41677,6125087333000,1784218840152104920,0,17413,1
41678,6125120659000,1784218840181941376,0,11593,1
41679,6125153964000,1784218840215656908,0,17431,1
41680,6125187282000,1784218840248774485,0,17310,1
41681,6125220601000,1784218840282312353,0,17327,1
41682,6125253921000,1784218840316247511,0,17162,1
41683,6125287239000,1784218840351146397,0,17288,1
41684,6125320565000,1784218840384857354,0,17274,1
41685,6125353877000,1784218840416731560,0,11539,1
41686,6125387195000,1784218840449905784,0,17333,1
41687,6125420515000,1784218840482736198,0,17006,1
41688,6125453832000,1784218840521110054,0,17320,1
41689,6125487168000,1784218840554639200,0,17135,1
41690,6125520470000,1784218840585725898,0,17126,1
41691,6125553794000,1784218840619018157,0,11373,1
41692,6125587109000,1784218840653514456,0,17153,1
41693,6125620431000,1784218840686594737,0,17207,1
41694,6125653754000,1784218840719959626,0,17100,1
41695,6125687060000,1784218840755292117,0,17202,1
41696,6125720387000,1784218840785264404,0,11458,1
41697,6125753706000,1784218840819055286,0,16974,1
41698,6125787016000,1784218840848359046,0,17072,1
41699,6125820334000,1784218840881012278,0,11476,1
41700,6125853652000,1784218840914974399,0,17194,1
41701,6125886970000,1784218840955026139,1,110280,6
41702,6125920288000,1784218840983484743,0,36774,2
41703,6125953609000,1784218841015124137,0,18692,1
41704,6125986928000,1784218841047352967,0,7919,1
41705,6126020245000,1784218841080442100,0,5750,1
41706,6126053562000,1784218841115962755,0,5907,1
41707,6126086883000,1784218841147663000,0,5759,1
41708,6126120202000,1784218841181005278,0,8219,1
41709,6126153519000,1784218841215852349,0,8101,1
41710,6126186837000,1784218841247247117,0,8159,1
41711,6126220154000,1784218841280380898,0,8259,1
41712,6126253473000,1784218841314641736,0,12129,1
41713,6126286792000,1784218841347536798,0,12288,1
41714,6126320109000,1784218841380840687,0,12236,1
41715,6126353427000,1784218841414477498,0,12475,1
