frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
42196,6142379615000,1784218857440817756,0,13362,1
42197,6142412934000,1784218857473760224,0,13444,1
42198,6142446252000,1784218857507699808,0,13212,1
42199,6142479571000,1784218857540477112,0,13246,1
42200,6142512889000,1784218857573627170,0,13104,1
42201,6142546207000,1784218857607046521,0,13163,1
42202,6142579526000,1784218857641030123,0,19354,1
42203,6142612845000,1784218857676153561,0,19469,1
42204,6142646163000,1784218857707676642,0,19424,1
42205,6142679483000,1784218857740288745,0,12997,1
42206,6142712800000,1784218857775436182,0,19141,1
42207,6142746119000,1784218857806916338,0,12804,1
42208,6142779437000,1784218857840833459,0,19189,1
42209,6142812756000,1784218857873484746,0,12779,1
42210,6142846074000,1784218857907469293,0,18898,1
42211,6142879392000,1784218857940874736,0,19023,1
42212,6142912711000,1784218857974014424,0,12743,1
42213,6142946031000,1784218858009133381,0,19140,1
42214,6142979347000,1784218858041021493,0,18856,1
42215,6143012668000,1784218858075068947,0,12687,1
42216,6143045985000,1784218858107525699,0,18967,1
42217,6143079304000,1784218858140814922,0,19017,1
42218,6143112623000,1784218858175333721,0,12668,1
42219,6143145941000,1784218858207409275,0,18572,1
42220,6143179262000,1784218858240682461,0,18578,1
42221,6143212578000,1784218858273743669,0,12750,1
42222,6143245896000,1784218858307303017,0,18822,1
42223,6143279215000,1784218858343314239,0,18916,1
42224,6143312537000,1784218858373981480,0,12646,1
42225,6143345856000,1784218858407342683,0,18877,1
42226,6143379170000,1784218858441369507,0,18716,1
42227,6143412491000,1784218858477678632,0,12342,1
42228,6143445811000,1784218858508994771,0,18823,1
42229,6143479138000,1784218858542508028,0,18661,1
42230,6143512450000,1784218858575981748,0,12503,1
42231,6143545776000,1784218858607565569,0,18472,1
42232,6143579081000,1784218858641913777,0,18638,1
42233,6143612405000,1784218858674350882,0,12435,1
42234,6143645720000,1784218858707291017,0,18574,1
42235,6143679041000,1784218858740394002,0,18483,1
42236,6143712357000,1784218858773088863,0,12491,1
42237,6143745676000,1784218858807054724,0,18784,1
42238,6143778994000,1784218858839693419,0,12349,1
42239,6143812313000,1784218858875258610,0,18509,1
42240,6143845630000,1784218858906993873,0,18463,1
42241,6143878950000,1784218858946232236,1,101652,5
42242,6143912269000,1784218858974989781,0,27142,2
42243,6143945586000,1784218859007622976,0,13826,1
42244,6143978905000,1784218859039101686,0,6052,1
42245,6144012223000,1784218859072277170,0,6091,1
42246,6144045541000,1784218859117053326,0,6080,1
42247,6144078860000,1784218859154126089,0,8590,1
42248,6144112179000,1784218859187604309,0,8305,1
42249,6144145498000,1784218859227395719,0,8307,1
42250,6144178821000,1784218859262758080,0,12780,1
42251,6144212134000,1784218859296143376,0,12591,1
42252,6144245456000,1784218859314052442,0,12558,1
42253,6144278769000,1784218859340197190,0,12396,1
42254,6144312088000,1784218859373092140,0,12181,1
42255,6144345408000,1784218859407239925,0,12241,1
42256,6144378730000,1784218859440863477,0,12113,1
42257,6144412053000,1784218859476017729,0,18407,1
42258,6144445365000,1784218859508900476,0,12202,1
42259,6144478686000,1784218859540131005,0,18379,1
42260,6144511999000,1784218859574192199,0,18441,1
42261,6144545323000,1784218859608877180,0,12337,1
