frame_num,sensor_ts_ns,wall_ts_ns,is_keyframe,size_bytes,packet_count
27313,5644909909000,1784218361429036565,0,14663,1
27314,5644943230000,1784218361461722911,0,14188,1
27315,5644976547000,1784218361495249822,0,14332,1
27316,5645009865000,1784218361527824002,0,13934,1
27317,5645043182000,1784218361561327877,0,14083,1
27318,5645076500000,1784218361594344071,0,14057,1
27319,5645109820000,1784218361633574849,0,13984,1
27320,5645143140000,1784218361671376253,0,14197,1
27321,5645176455000,1784218361710472995,0,14087,1
27322,5645209776000,1784218361742716772,0,13857,1
27323,5645243094000,1784218361781791588,0,20415,1
27324,5645276416000,1784218361816609986,0,13625,1
27325,5645309732000,1784218361846920172,0,13941,1
27326,5645343054000,1784218361874111945,0,20500,2
27327,5645376369000,1784218361897981160,0,13802,1
27328,5645409724000,1784218361929600832,0,20273,1
27329,5645443006000,1784218361961824701,0,13820,1
27330,5645476324000,1784218361995666739,0,13775,1
27331,5645509647000,1784218362031243388,0,20205,1
27332,5645542960000,1784218362061811774,0,13950,1
27333,5645576279000,1784218362097661699,0,20334,1
27334,5645609597000,1784218362127935032,0,13842,1
27335,5645642913000,1784218362162572765,0,20492,2
27336,5645676233000,1784218362196895946,0,13966,1
27337,5645709553000,1784218362230385895,0,13708,1
27338,5645742869000,1784218362263466885,0,20338,1
27339,5645776191000,1784218362296352488,0,13675,1
27340,5645809510000,1784218362330037379,0,20092,1
27341,5645842824000,1784218362361644477,0,13667,1
27342,5645876150000,1784218362396439171,0,20106,1
27343,5645909465000,1784218362433370936,0,13602,1
27344,5645942794000,1784218362466996976,0,20153,1
27345,5645976107000,1784218362499063310,0,13983,1
27346,5646009422000,1784218362532687053,0,20191,1
27347,5646042745000,1784218362560807299,0,14060,1
27348,5646076054000,1784218362595222293,0,20232,1
27349,5646109374000,1784218362627492699,0,13767,1
27350,5646142691000,1784218362661484661,0,20662,2
27351,5646176012000,1784218362694007268,0,13793,1
27352,5646209328000,1784218362727763010,0,13697,1
27353,5646242651000,1784218362761925137,0,20363,1
27354,5646275966000,1784218362794503039,0,14024,1
27355,5646309286000,1784218362828642204,0,20377,1
27356,5646342603000,1784218362860722167,0,13880,1
27357,5646375920000,1784218362894575853,0,20035,1
27358,5646409239000,1784218362927190255,0,13739,1
27359,5646442558000,1784218362961203568,0,20354,1
27360,5646475875000,1784218362993998098,0,13780,1
27361,5646509196000,1784218363033658335,1,93279,5
27362,5646542515000,1784218363062348389,0,28623,2
27363,5646575830000,1784218363093904858,0,14936,1
27364,5646609152000,1784218363126808072,0,7000,1
27365,5646642469000,1784218363159633972,0,7067,1
27366,5646675786000,1784218363192903423,0,7151,1
27367,5646709103000,1784218363226555462,0,9832,1
27368,5646742422000,1784218363259941245,0,9920,1
27369,5646775741000,1784218363293311714,0,9800,1
27370,5646809063000,1784218363328226333,0,9931,1
27371,5646842379000,1784218363361906798,0,14445,1
27372,5646875698000,1784218363394480664,0,14554,1
27373,5646909016000,1784218363429131674,0,14434,1
27374,5646942335000,1784218363461112250,0,14317,1
27375,5646975653000,1784218363494338072,0,14283,1
27376,5647008973000,1784218363526979770,0,14149,1
27377,5647042289000,1784218363561167359,0,14322,1
27378,5647075608000,1784218363593634448,0,14289,1
27379,5647108927000,1784218363627129286,0,14210,1
27380,5647142247000,1784218363660545883,0,14200,1
27381,5647175565000,1784218363694273589,0,14122,1
27382,5647208883000,1784218363729630740,0,14077,1
27383,5647242201000,1784218363760933008,0,14109,1
27384,5647275520000,1784218363795362743,0,20724,2
27385,5647308844000,1784218363830958263,0,14075,1
27386,5647342160000,1784218363862370807,0,14113,1
27387,5647375476000,1784218363895192207,0,14038,1
27388,5647408794000,1784218363930047086,0,21079,2
27389,5647442116000,1784218363962282381,0,14357,1
27390,5647475434000,1784218363994615286,0,14508,1
27391,5647508758000,1784218364029426351,0,14555,1
27392,5647542071000,1784218364060761544,0,14350,1
27393,5647575390000,1784218364100515446,0,21074,2
27394,5647608707000,1784218364127816755,0,14480,1
27395,5647642024000,1784218364161035337,0,20923,2
27396,5647675342000,1784218364193623813,0,14564,1
27397,5647708659000,1784218364227052633,0,14633,1
27398,5647741980000,1784218364260165900,0,14391,1
27399,5647775298000,1784218364294103455,0,21033,2
27400,5647808615000,1784218364326832819,0,14300,1
27401,5647841935000,1784218364360761930,0,20702,2
27402,5647875253000,1784218364393153279,0,14046,1
27403,5647908571000,1784218364426533840,0,14041,1
27404,5647941889000,1784218364460860780,0,20452,1
27405,5647975210000,1784218364493400794,0,14153,1
27406,5648008527000,1784218364527129722,0,20459,1
